Modello,Rumore_%,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
Decision Tree,0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
Decision Tree,5,0.9116,0.002,0.9114,0.0021,0.9218,0.0022,0.9216,0.0022
Decision Tree,10,0.9002,0.0023,0.9,0.0023,0.9201,0.0003,0.92,0.0003
Decision Tree,20,0.8783,0.0038,0.8782,0.0037,0.9123,0.0014,0.9121,0.0013
Decision Tree,30,0.8626,0.0035,0.8625,0.0034,0.9086,0.0028,0.9083,0.0027
Decision Tree,40,0.8448,0.0046,0.8447,0.0044,0.9048,0.0023,0.9046,0.0023
Logistic Regression,0,0.9222,0.0,0.9218,0.0,0.9222,0.0,0.9218,0.0
Logistic Regression,5,0.8906,0.0024,0.8902,0.0024,0.9053,0.0016,0.9047,0.0016
Logistic Regression,10,0.8782,0.003,0.8778,0.0029,0.901,0.001,0.9004,0.001
Logistic Regression,20,0.8562,0.0029,0.8559,0.0029,0.8932,0.0023,0.8927,0.0022
Logistic Regression,30,0.8427,0.0037,0.8422,0.0037,0.8876,0.0013,0.887,0.0013
Logistic Regression,40,0.8293,0.0049,0.8288,0.0049,0.8827,0.0016,0.8821,0.0016
Neural Network,0,0.9153,0.0,0.9152,0.0,0.9153,0.0,0.9152,0.0
Neural Network,5,0.8868,0.0012,0.8867,0.0013,0.9124,0.0017,0.9122,0.0018
Neural Network,10,0.8616,0.0048,0.8616,0.0047,0.9086,0.0039,0.9084,0.0038
Neural Network,20,0.8158,0.0027,0.8158,0.0026,0.901,0.0024,0.9007,0.0024
Neural Network,30,0.7834,0.007,0.7832,0.007,0.8952,0.0025,0.8949,0.0025
Neural Network,40,0.7526,0.0092,0.7522,0.0093,0.8834,0.0037,0.883,0.0035
Random Forest,0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
Random Forest,5,0.9126,0.0012,0.9126,0.0011,0.9297,0.0003,0.9295,0.0004
Random Forest,10,0.901,0.0025,0.9011,0.0025,0.9288,0.0014,0.9285,0.0014
Random Forest,20,0.88,0.0025,0.88,0.0024,0.9241,0.002,0.9238,0.002
Random Forest,30,0.8599,0.0027,0.8599,0.0027,0.9182,0.0014,0.9178,0.0014
Random Forest,40,0.84,0.0026,0.8398,0.0027,0.9098,0.0022,0.9093,0.0022
