Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
0,1,101,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,1,101,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,1,101,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,1,101,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,0,100,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,0,100,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,0,100,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,0,100,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,3,103,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,3,103,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,3,103,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,3,103,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,2,102,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,2,102,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,2,102,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,2,102,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,4,104,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,4,104,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,4,104,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,4,104,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
5,2,102,Logistic Regression,538,611,129,0.8889,0.8887,0.8889,0.8885,0.0077,0.0078,0.9032,0.9028,0.9032,0.9026,0.0072,0.0073,0.0488
5,2,102,Random Forest,538,611,129,0.912,0.9125,0.912,0.912,0.0044,0.0044,0.9293,0.9294,0.9293,0.929,0.0055,0.0055,0.0488
5,2,102,Decision Tree,538,611,129,0.9142,0.9144,0.9142,0.9141,0.004,0.004,0.9232,0.9234,0.9232,0.9231,0.0035,0.0035,0.0488
5,2,102,Neural Network,538,611,129,0.8863,0.8864,0.8863,0.8861,0.0062,0.0065,0.9114,0.9112,0.9114,0.9111,0.0087,0.009,0.0488
5,0,100,Logistic Regression,336,408,106,0.8892,0.8892,0.8892,0.8888,0.0104,0.0102,0.9052,0.905,0.9052,0.9046,0.0095,0.0095,0.052
5,0,100,Random Forest,336,408,106,0.9116,0.9121,0.9116,0.9117,0.0062,0.0061,0.93,0.9301,0.93,0.9297,0.0033,0.0032,0.052
5,0,100,Decision Tree,336,408,106,0.9115,0.9116,0.9115,0.9114,0.0066,0.0067,0.9227,0.9229,0.9227,0.9226,0.0052,0.0052,0.052
5,0,100,Neural Network,336,408,106,0.8865,0.887,0.8865,0.8865,0.0058,0.0059,0.914,0.914,0.914,0.9137,0.0077,0.0079,0.052
5,1,101,Logistic Regression,353,414,107,0.8918,0.8916,0.8918,0.8913,0.0074,0.0074,0.9068,0.9065,0.9068,0.9062,0.0081,0.0081,0.0485
5,1,101,Random Forest,353,414,107,0.9146,0.9148,0.9146,0.9145,0.006,0.0061,0.9299,0.9299,0.9299,0.9297,0.0046,0.0046,0.0485
5,1,101,Decision Tree,353,414,107,0.9087,0.9087,0.9087,0.9085,0.0092,0.0093,0.918,0.918,0.918,0.9179,0.007,0.007,0.0485
5,1,101,Neural Network,353,414,107,0.8885,0.8888,0.8885,0.8885,0.0049,0.0049,0.9132,0.9133,0.9132,0.9131,0.0069,0.007,0.0485
5,3,103,Logistic Regression,455,539,129,0.8889,0.8886,0.8889,0.8884,0.0044,0.0043,0.9043,0.904,0.9043,0.9037,0.0089,0.0089,0.0503
5,3,103,Random Forest,455,539,129,0.9119,0.9124,0.9119,0.912,0.0049,0.0049,0.93,0.9301,0.93,0.9298,0.0026,0.0026,0.0503
5,3,103,Decision Tree,455,539,129,0.911,0.911,0.911,0.9108,0.0066,0.0068,0.9215,0.9214,0.9215,0.9213,0.004,0.0041,0.0503
5,3,103,Neural Network,455,539,129,0.8874,0.8877,0.8874,0.8874,0.0043,0.0044,0.9136,0.9136,0.9136,0.9134,0.0045,0.0048,0.0503
5,4,104,Logistic Regression,372,445,113,0.8942,0.8939,0.8942,0.8938,0.0099,0.01,0.9069,0.9066,0.9069,0.9063,0.0085,0.0086,0.0477
5,4,104,Random Forest,372,445,113,0.9127,0.9129,0.9127,0.9126,0.0045,0.0045,0.9294,0.9293,0.9294,0.9291,0.0029,0.0029,0.0477
5,4,104,Decision Tree,372,445,113,0.9125,0.9125,0.9125,0.9123,0.0031,0.003,0.9234,0.9233,0.9234,0.9231,0.0016,0.0015,0.0477
5,4,104,Neural Network,372,445,113,0.8853,0.8855,0.8853,0.8852,0.0067,0.0067,0.9099,0.9098,0.9099,0.9096,0.0055,0.0057,0.0477
10,0,100,Logistic Regression,809,983,260,0.8826,0.8823,0.8826,0.882,0.0082,0.0081,0.9022,0.9018,0.9022,0.9015,0.0088,0.0089,0.0995
10,0,100,Random Forest,809,983,260,0.9015,0.9022,0.9015,0.9017,0.0077,0.0077,0.929,0.929,0.929,0.9287,0.0064,0.0064,0.0995
10,0,100,Decision Tree,809,983,260,0.8994,0.8997,0.8994,0.8993,0.0087,0.0086,0.9201,0.9202,0.9201,0.92,0.0067,0.0067,0.0995
10,0,100,Neural Network,809,983,260,0.868,0.8679,0.868,0.8678,0.0073,0.0072,0.9126,0.9124,0.9126,0.9123,0.0073,0.0075,0.0995
10,1,101,Logistic Regression,711,866,259,0.8769,0.8769,0.8769,0.8765,0.0135,0.0132,0.9012,0.9011,0.9012,0.9007,0.0094,0.0093,0.0962
