N_FD,Modello,Rumore_%,Quota_train_sporca,IM,IH,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
1,Decision Tree,0,0.0,0.0,0.0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
1,Decision Tree,5,0.0495,410.8,116.8,0.9165,0.0025,0.9164,0.0025,0.9231,0.0015,0.923,0.0016
1,Decision Tree,10,0.0977,787.0,260.4,0.9076,0.0008,0.9075,0.0008,0.9182,0.0015,0.9181,0.0015
1,Decision Tree,20,0.1977,1540.2,587.8,0.8997,0.0032,0.8996,0.0032,0.9172,0.0012,0.917,0.0012
1,Decision Tree,30,0.2982,2257.4,983.6,0.8962,0.0025,0.896,0.0025,0.9146,0.0019,0.9145,0.0018
1,Decision Tree,40,0.3976,2815.6,1421.4,0.8908,0.0027,0.8906,0.0026,0.9106,0.0029,0.9105,0.0029
1,Logistic Regression,0,0.0,0.0,0.0,0.9222,0.0,0.9218,0.0,0.9222,0.0,0.9218,0.0
1,Logistic Regression,5,0.0495,410.8,116.8,0.8962,0.0016,0.8957,0.0016,0.9047,0.0015,0.9041,0.0015
1,Logistic Regression,10,0.0977,787.0,260.4,0.8908,0.0025,0.8903,0.0025,0.9016,0.0008,0.901,0.0008
1,Logistic Regression,20,0.1977,1540.2,587.8,0.8867,0.0019,0.8862,0.0019,0.8975,0.0011,0.8969,0.0012
1,Logistic Regression,30,0.2982,2257.4,983.6,0.8838,0.0023,0.8832,0.0023,0.8947,0.0016,0.8941,0.0017
1,Logistic Regression,40,0.3976,2815.6,1421.4,0.8825,0.0017,0.8819,0.0017,0.8927,0.0015,0.8921,0.0015
1,Neural Network,0,0.0,0.0,0.0,0.9153,0.0,0.9152,0.0,0.9153,0.0,0.9152,0.0
1,Neural Network,5,0.0495,410.8,116.8,0.8976,0.0032,0.8975,0.0031,0.91,0.0031,0.9097,0.0031
1,Neural Network,10,0.0977,787.0,260.4,0.8884,0.0027,0.8883,0.0028,0.9091,0.0016,0.9088,0.0016
1,Neural Network,20,0.1977,1540.2,587.8,0.8757,0.002,0.8756,0.0021,0.9039,0.001,0.9037,0.001
1,Neural Network,30,0.2982,2257.4,983.6,0.8678,0.0039,0.8676,0.0038,0.8978,0.0032,0.8976,0.0031
1,Neural Network,40,0.3976,2815.6,1421.4,0.861,0.0037,0.8607,0.0036,0.8929,0.0031,0.8926,0.003
1,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
1,Random Forest,5,0.0495,410.8,116.8,0.929,0.0011,0.9288,0.0011,0.9313,0.0011,0.931,0.001
1,Random Forest,10,0.0977,787.0,260.4,0.9246,0.0013,0.9244,0.0013,0.9287,0.001,0.9284,0.001
