N_FD,Regime,Modello,Valutazione,Metrica_Inconsistenza,N_punti,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
1,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.9605,4.329611373148853e-17,-0.9646,9.656576119097278e-18
1,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.9547,2.829681581687256e-16,-0.9702,9.038297675513883e-19
1,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.9309,9.119340792689967e-14,-0.9674,3.115276846433235e-18
1,tutti i livelli,Decision Tree,test_pulito,IM,30,-0.8996,1.3818247382722892e-11,-0.8951,2.4903549807007887e-11
1,tutti i livelli,Decision Tree,test_pulito,IP,30,-0.9061,5.708103057389056e-12,-0.9012,1.1272594813859202e-11
1,tutti i livelli,Decision Tree,test_pulito,IH,30,-0.9103,3.0699613684713776e-12,-0.8951,2.4941335552229953e-11
1,tutti i livelli,Logistic Regression,test_sporco,IM,30,-0.8022,9.806809814888381e-08,-0.9525,5.433128311045869e-16
1,tutti i livelli,Logistic Regression,test_sporco,IP,30,-0.7846,2.873490268728222e-07,-0.9547,2.805345709814298e-16
1,tutti i livelli,Logistic Regression,test_sporco,IH,30,-0.735,3.742383464959089e-06,-0.9502,1.053513109669001e-15
1,tutti i livelli,Logistic Regression,test_pulito,IM,30,-0.8494,2.932125203834852e-09,-0.967,3.603549221313009e-18
1,tutti i livelli,Logistic Regression,test_pulito,IP,30,-0.8343,1.0116604113671635e-08,-0.9675,2.9848268372843724e-18
1,tutti i livelli,Logistic Regression,test_pulito,IH,30,-0.7906,2.0146571506087764e-07,-0.9718,4.095873625333002e-19
1,tutti i livelli,Neural Network,test_sporco,IM,30,-0.9557,2.1113511064832692e-16,-0.9755,5.827061038579278e-20
1,tutti i livelli,Neural Network,test_sporco,IP,30,-0.9487,1.5783594552520748e-15,-0.9771,2.333196169247287e-20
1,tutti i livelli,Neural Network,test_sporco,IH,30,-0.9211,5.421102861945349e-13,-0.9781,1.2541022236379525e-20
1,tutti i livelli,Neural Network,test_pulito,IM,30,-0.9573,1.2557864000251162e-16,-0.9518,6.583884585217854e-16
1,tutti i livelli,Neural Network,test_pulito,IP,30,-0.9621,2.482637622630396e-17,-0.955,2.621123531899463e-16
1,tutti i livelli,Neural Network,test_pulito,IH,30,-0.9561,1.8430927398859307e-16,-0.9552,2.4519159044333274e-16
1,tutti i livelli,Random Forest,test_sporco,IM,30,-0.9705,7.580877340435507e-19,-0.9612,3.354493078591081e-17
1,tutti i livelli,Random Forest,test_sporco,IP,30,-0.9705,7.714835513942835e-19,-0.9675,2.966650985898995e-18
1,tutti i livelli,Random Forest,test_sporco,IH,30,-0.9577,1.1015104307459474e-16,-0.9616,2.981260030020317e-17
1,tutti i livelli,Random Forest,test_pulito,IM,30,-0.9716,4.682335299100432e-19,-0.9734,1.8463723155233231e-19
1,tutti i livelli,Random Forest,test_pulito,IP,30,-0.9727,2.672993993437311e-19,-0.9779,1.4436412510224585e-20
1,tutti i livelli,Random Forest,test_pulito,IH,30,-0.964,1.1870174160662904e-17,-0.9726,2.761573607457824e-19
5,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.9833,3.006581328911398e-22,-0.9754,6.196997021048808e-20
5,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.6424,0.00012938834079991685,-0.6473,0.00011057019898609192
5,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.9699,1.0088775555656089e-18,-0.9732,2.066645482418822e-19
5,tutti i livelli,Decision Tree,test_pulito,IM,30,-0.9156,1.3607873841798632e-12,-0.9248,2.8581323362528646e-13
5,tutti i livelli,Decision Tree,test_pulito,IP,30,-0.476,0.007836384981352276,-0.5439,0.0018910908263245698
5,tutti i livelli,Decision Tree,test_pulito,IH,30,-0.8795,1.5685309766355387e-10,-0.9259,2.3340256891531865e-13
5,tutti i livelli,Logistic Regression,test_sporco,IM,30,-0.9453,3.74112939615588e-15,-0.9607,4.077997943701002e-17
5,tutti i livelli,Logistic Regression,test_sporco,IP,30,-0.8504,2.6905934502742895e-09,-0.6473,0.00011057019898609192
5,tutti i livelli,Logistic Regression,test_sporco,IH,30,-0.9732,2.0249343444188249e-19,-0.9616,2.9721042854482594e-17
5,tutti i livelli,Logistic Regression,test_pulito,IM,30,-0.9491,1.4001344212180976e-15,-0.9612,3.354493078591081e-17
5,tutti i livelli,Logistic Regression,test_pulito,IP,30,-0.837,8.184263796281926e-09,-0.6474,0.00011031025175330423
5,tutti i livelli,Logistic Regression,test_pulito,IH,30,-0.9687,1.748986754575152e-18,-0.9635,1.481393556866471e-17
5,tutti i livelli,Neural Network,test_sporco,IM,30,-0.9973,3.1869605299544e-33,-0.9817,1.0537087233634128e-21
5,tutti i livelli,Neural Network,test_sporco,IP,30,-0.6516,9.606335730054187e-05,-0.6473,0.00011057019898609192
5,tutti i livelli,Neural Network,test_sporco,IH,30,-0.9836,2.3166741739932697e-22,-0.9745,1.0161791103753299e-19
5,tutti i livelli,Neural Network,test_pulito,IM,30,-0.9785,9.969938415057735e-21,-0.9812,1.4724799869551102e-21
5,tutti i livelli,Neural Network,test_pulito,IP,30,-0.5825,0.0007326499980625187,-0.6473,0.00011057019898609192
5,tutti i livelli,Neural Network,test_pulito,IH,30,-0.9496,1.2174463690229583e-15,-0.9745,1.0161791103753299e-19
5,tutti i livelli,Random Forest,test_sporco,IM,30,-0.9885,1.5210437767656234e-24,-0.9866,1.369267521396265e-23
5,tutti i livelli,Random Forest,test_sporco,IP,30,-0.6195,0.00026183520614496457,-0.6473,0.00011057019898609192
5,tutti i livelli,Random Forest,test_sporco,IH,30,-0.9653,7.185066638782341e-18,-0.9866,1.369267521396265e-23
5,tutti i livelli,Random Forest,test_pulito,IM,30,-0.977,2.419079071365453e-20,-0.9662,4.9572568836389335e-18
5,tutti i livelli,Random Forest,test_pulito,IP,30,-0.6248,0.00022358250910072826,-0.6474,0.00011005076187854676
5,tutti i livelli,Random Forest,test_pulito,IH,30,-0.9521,6.030821207209465e-16,-0.9756,5.477573040823699e-20
10,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.7917,1.882100812083949e-07,-0.6039,0.00041040127583670804
10,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.6639,6.332764570676995e-05,-0.6474,0.00011031025175330423
10,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.8775,1.9563260712882915e-10,-0.9814,1.2507605292351132e-21
