N_FD,Rumore_%,FD_n,FD,Gruppi_LHS,Dimensione_media,Dimensione_massima,Coppie_stesso_LHS,Conflitti_FD,Quota_coppie_in_conflitto
1,0,1,Origin+Dest -> Distance,4624,6.5,66,190594,0,0.0
1,5,1,Origin+Dest -> Distance,6012,5.0,60,171826,336,0.002
1,10,1,Origin+Dest -> Distance,7361,4.1,57,154571,809,0.0052
1,20,1,Origin+Dest -> Distance,10058,3.0,50,122624,1081,0.0088
1,30,1,Origin+Dest -> Distance,12560,2.4,43,95319,2096,0.022
1,40,1,Origin+Dest -> Distance,14993,2.0,36,71896,2842,0.0395
10,0,1,Origin+Dest -> Distance,4624,6.5,66,190594,0,0.0
10,0,2,OriginAirportID -> OriginCityName,322,93.2,1419,8425296,0,0.0
10,0,3,DestAirportID -> DestCityName,315,95.2,1398,8518554,0,0.0
10,0,4,OriginAirportID -> OriginState,322,93.2,1419,8425296,0,0.0
10,0,5,DestAirportID -> DestState,315,95.2,1398,8518554,0,0.0
10,0,6,OriginAirportID -> Origin,322,93.2,1419,8425296,0,0.0
10,0,7,DestAirportID -> Dest,315,95.2,1398,8518554,0,0.0
10,0,8,OriginAirportID -> OriginWac,322,93.2,1419,8425296,0,0.0
10,0,9,DestAirportID -> DestWac,315,95.2,1398,8518554,0,0.0
10,0,10,OriginAirportID -> OriginStateName,322,93.2,1419,8425296,0,0.0
10,5,1,Origin+Dest -> Distance,7997,3.8,53,144002,4889,0.034
10,5,2,OriginAirportID -> OriginCityName,322,93.2,1125,5607633,559885,0.0998
10,5,3,DestAirportID -> DestCityName,315,95.2,1168,6154449,485198,0.0788
10,5,4,OriginAirportID -> OriginState,322,93.2,1125,5607633,542607,0.0968
10,5,5,DestAirportID -> DestState,315,95.2,1168,6154449,469955,0.0764
10,5,6,OriginAirportID -> Origin,322,93.2,1125,5607633,1056488,0.1884
10,5,7,DestAirportID -> Dest,315,95.2,1168,6154449,1052189,0.171
10,5,8,OriginAirportID -> OriginWac,322,93.2,1125,5607633,542887,0.0968
10,5,9,DestAirportID -> DestWac,315,95.2,1168,6154449,471018,0.0765
10,5,10,OriginAirportID -> OriginStateName,322,93.2,1125,5607633,545573,0.0973
10,10,1,Origin+Dest -> Distance,10946,2.7,45,108131,7480,0.0692
10,10,2,OriginAirportID -> OriginCityName,322,93.2,885,3838966,907282,0.2363
10,10,3,DestAirportID -> DestCityName,315,95.2,955,4470516,787154,0.1761
10,10,4,OriginAirportID -> OriginState,322,93.2,885,3838966,881762,0.2297
10,10,5,DestAirportID -> DestState,315,95.2,955,4470516,758746,0.1697
10,10,6,OriginAirportID -> Origin,322,93.2,885,3838966,1490726,0.3883
10,10,7,DestAirportID -> Dest,315,95.2,955,4470516,1490797,0.3335
10,10,8,OriginAirportID -> OriginWac,322,93.2,885,3838966,878301,0.2288
10,10,9,DestAirportID -> DestWac,315,95.2,955,4470516,758476,0.1697
10,10,10,OriginAirportID -> OriginStateName,322,93.2,885,3838966,881073,0.2295
10,20,1,Origin+Dest -> Distance,15790,1.9,38,59013,9354,0.1585
10,20,2,OriginAirportID -> OriginCityName,322,93.2,511,2147150,1225210,0.5706
10,20,3,DestAirportID -> DestCityName,315,95.2,627,2616661,1187327,0.4538
10,20,4,OriginAirportID -> OriginState,322,93.2,511,2147150,1192972,0.5556
10,20,5,DestAirportID -> DestState,315,95.2,627,2616661,1157576,0.4424
10,20,6,OriginAirportID -> Origin,322,93.2,511,2147150,1559568,0.7263
10,20,7,DestAirportID -> Dest,315,95.2,627,2616661,1698730,0.6492
10,20,8,OriginAirportID -> OriginWac,322,93.2,511,2147150,1194815,0.5565
10,20,9,DestAirportID -> DestWac,315,95.2,627,2616661,1154011,0.441
10,20,10,OriginAirportID -> OriginStateName,322,93.2,511,2147150,1192799,0.5555
10,30,1,Origin+Dest -> Distance,19278,1.6,25,31649,9014,0.2848
10,30,2,OriginAirportID -> OriginCityName,322,93.2,303,1595930,1339834,0.8395
10,30,3,DestAirportID -> DestCityName,315,95.2,447,1830305,1325405,0.7241
10,30,4,OriginAirportID -> OriginState,322,93.2,303,1595930,1308170,0.8197
10,30,5,DestAirportID -> DestState,315,95.2,447,1830305,1295886,0.708
10,30,6,OriginAirportID -> Origin,322,93.2,303,1595930,1472606,0.9227
10,30,7,DestAirportID -> Dest,315,95.2,447,1830305,1577838,0.8621
10,30,8,OriginAirportID -> OriginWac,322,93.2,303,1595930,1306368,0.8186
10,30,9,DestAirportID -> DestWac,315,95.2,447,1830305,1293968,0.707
10,30,10,OriginAirportID -> OriginStateName,322,93.2,303,1595930,1306120,0.8184
10,40,1,Origin+Dest -> Distance,22077,1.4,18,16280,7426,0.4561
10,40,2,OriginAirportID -> OriginCityName,322,93.2,199,1436355,1372622,0.9556
10,40,3,DestAirportID -> DestCityName,315,95.2,265,1541571,1391952,0.9029
10,40,4,OriginAirportID -> OriginState,322,93.2,199,1436355,1342515,0.9347
10,40,5,DestAirportID -> DestState,315,95.2,265,1541571,1361324,0.8831
10,40,6,OriginAirportID -> Origin,322,93.2,199,1436355,1409886,0.9816
10,40,7,DestAirportID -> Dest,315,95.2,265,1541571,1487731,0.9651
10,40,8,OriginAirportID -> OriginWac,322,93.2,199,1436355,1343511,0.9354
10,40,9,DestAirportID -> DestWac,315,95.2,265,1541571,1361378,0.8831
10,40,10,OriginAirportID -> OriginStateName,322,93.2,199,1436355,1342642,0.9348
