N_FD,Rumore_%,Quota_train_sporca,F1_test_pulito,F1_test_sporco,Perdita_apprendimento,Perdita_input_corrotto,Perdita_totale_test_sporco,Quota_apprendimento_%
1,0,0.0,0.9233,0.9233,0.0,0.0,0.0,
1,5,0.0495,0.9169,0.9096,0.0064,0.0074,0.0137,46.4
1,10,0.0977,0.9141,0.9026,0.0092,0.0115,0.0207,44.6
1,20,0.1977,0.9109,0.8953,0.0124,0.0156,0.028,44.2
1,30,0.2982,0.907,0.89,0.0163,0.017,0.0333,48.9
1,40,0.3976,0.9034,0.8855,0.0199,0.0179,0.0378,52.6
5,0,0.0,0.9233,0.9233,0.0,0.0,0.0,
5,5,0.2276,0.9151,0.9051,0.0082,0.01,0.0183,45.0
5,10,0.4074,0.9104,0.894,0.0129,0.0164,0.0293,43.9
5,20,0.6726,0.9039,0.8778,0.0194,0.0261,0.0455,42.7
5,30,0.8328,0.8966,0.8641,0.0267,0.0324,0.0592,45.2
5,40,0.9226,0.89,0.8548,0.0333,0.0353,0.0685,48.6
10,0,0.0,0.9233,0.9233,0.0,0.0,0.0,
10,5,0.4026,0.9129,0.899,0.0104,0.0139,0.0243,42.9
10,10,0.6483,0.9071,0.8827,0.0163,0.0244,0.0407,40.0
10,20,0.8932,0.8961,0.8573,0.0272,0.0388,0.066,41.2
10,30,0.9716,0.8848,0.8389,0.0385,0.0459,0.0844,45.6
10,40,0.9943,0.8724,0.8231,0.051,0.0492,0.1002,50.9
