N_FD,Modello,Rumore_%,Quota_train_sporca,IM,IH,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
1,Decision Tree,0,0.0,0.0,0.0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
1,Decision Tree,5,0.0495,28474.8,2504.2,0.8862,0.0016,0.8862,0.0016,0.919,0.0013,0.9189,0.0013
1,Decision Tree,10,0.0977,55660.6,4909.0,0.8548,0.0037,0.8548,0.0038,0.9141,0.0007,0.914,0.0008
1,Decision Tree,20,0.1977,105792.4,9508.4,0.7989,0.0047,0.7989,0.0048,0.9052,0.0048,0.9049,0.0048
1,Decision Tree,30,0.2982,149280.4,13678.0,0.7535,0.0047,0.7539,0.0049,0.8972,0.0038,0.8969,0.0038
1,Decision Tree,40,0.3976,186613.6,17498.4,0.7122,0.0074,0.7124,0.0074,0.885,0.0024,0.8846,0.0024
1,Logistic Regression,0,0.0,0.0,0.0,0.9222,0.0,0.9218,0.0,0.9222,0.0,0.9218,0.0
1,Logistic Regression,5,0.0495,28474.8,2504.2,0.8409,0.0038,0.8404,0.0039,0.8655,0.0033,0.8649,0.0033
1,Logistic Regression,10,0.0977,55660.6,4909.0,0.7778,0.0027,0.7773,0.0028,0.8176,0.0024,0.8165,0.0026
1,Logistic Regression,20,0.1977,105792.4,9508.4,0.6982,0.0064,0.6971,0.0064,0.756,0.0048,0.7538,0.0048
1,Logistic Regression,30,0.2982,149280.4,13678.0,0.6522,0.0017,0.6504,0.0019,0.7186,0.003,0.7153,0.003
1,Logistic Regression,40,0.3976,186613.6,17498.4,0.6215,0.0015,0.6191,0.0014,0.6904,0.0036,0.6862,0.0036
1,Neural Network,0,0.0,0.0,0.0,0.9153,0.0,0.9152,0.0,0.9153,0.0,0.9152,0.0
1,Neural Network,5,0.0495,28474.8,2504.2,0.892,0.0027,0.8918,0.0027,0.9051,0.0017,0.9049,0.0018
1,Neural Network,10,0.0977,55660.6,4909.0,0.8862,0.0022,0.8861,0.0021,0.9012,0.0019,0.9011,0.0018
1,Neural Network,20,0.1977,105792.4,9508.4,0.8827,0.0011,0.8826,0.0011,0.8973,0.0022,0.8971,0.0021
1,Neural Network,30,0.2982,149280.4,13678.0,0.8834,0.0014,0.8834,0.0014,0.8963,0.001,0.8962,0.001
1,Neural Network,40,0.3976,186613.6,17498.4,0.8832,0.0013,0.8832,0.0012,0.8944,0.0011,0.8943,0.001
1,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
1,Random Forest,5,0.0495,28474.8,2504.2,0.9224,0.0013,0.9222,0.0013,0.9311,0.0011,0.9309,0.0011
1,Random Forest,10,0.0977,55660.6,4909.0,0.9154,0.0005,0.9152,0.0006,0.9293,0.001,0.929,0.001
1,Random Forest,20,0.1977,105792.4,9508.4,0.904,0.0015,0.9038,0.0015,0.9244,0.0008,0.924,0.0008
1,Random Forest,30,0.2982,149280.4,13678.0,0.8947,0.0009,0.8945,0.001,0.9208,0.0007,0.9204,0.0007
1,Random Forest,40,0.3976,186613.6,17498.4,0.8867,0.0011,0.8863,0.001,0.9157,0.0012,0.9152,0.0012
2,Decision Tree,0,0.0,0.0,0.0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
2,Decision Tree,5,0.0974,71289.2,5175.8,0.8554,0.0044,0.8555,0.0044,0.9154,0.0023,0.9152,0.0024
2,Decision Tree,10,0.1881,131055.0,9754.4,0.8042,0.0025,0.8044,0.0026,0.9067,0.0013,0.9065,0.0013
2,Decision Tree,20,0.3597,217758.2,17090.4,0.7308,0.0089,0.7311,0.0088,0.8925,0.0048,0.8921,0.0049
2,Decision Tree,30,0.5085,271098.6,22255.8,0.6753,0.0064,0.6755,0.0066,0.8695,0.0022,0.869,0.0022
2,Decision Tree,40,0.6371,300732.0,25583.2,0.6481,0.0154,0.6484,0.0155,0.8485,0.0014,0.8479,0.0013
2,Logistic Regression,0,0.0,0.0,0.0,0.9222,0.0,0.9218,0.0,0.9222,0.0,0.9218,0.0
2,Logistic Regression,5,0.0974,71289.2,5175.8,0.785,0.0053,0.7845,0.0053,0.8278,0.0051,0.827,0.0052
2,Logistic Regression,10,0.1881,131055.0,9754.4,0.7027,0.0039,0.7016,0.0038,0.7672,0.0054,0.7653,0.0053
2,Logistic Regression,20,0.3597,217758.2,17090.4,0.6246,0.0049,0.6229,0.0048,0.7065,0.0036,0.7033,0.0038
2,Logistic Regression,30,0.5085,271098.6,22255.8,0.5832,0.0014,0.5806,0.0012,0.6698,0.0043,0.6653,0.0048
2,Logistic Regression,40,0.6371,300732.0,25583.2,0.5619,0.004,0.5593,0.0039,0.6459,0.0035,0.6408,0.0038
2,Neural Network,0,0.0,0.0,0.0,0.9153,0.0,0.9152,0.0,0.9153,0.0,0.9152,0.0
2,Neural Network,5,0.0974,71289.2,5175.8,0.8773,0.0018,0.8772,0.0018,0.9027,0.0015,0.9024,0.0015
2,Neural Network,10,0.1881,131055.0,9754.4,0.8633,0.0021,0.8632,0.0021,0.8958,0.0025,0.8955,0.0026
2,Neural Network,20,0.3597,217758.2,17090.4,0.8525,0.0033,0.8525,0.0033,0.8859,0.0018,0.8858,0.0019
2,Neural Network,30,0.5085,271098.6,22255.8,0.8449,0.003,0.8446,0.0029,0.8783,0.002,0.878,0.0019
2,Neural Network,40,0.6371,300732.0,25583.2,0.8365,0.0019,0.8365,0.0019,0.8722,0.0035,0.8722,0.0033
2,Random Forest,0,0.0,0.0,0.0,0.9347,0.0,0.9345,0.0,0.9347,0.0,0.9345,0.0
2,Random Forest,5,0.0974,71289.2,5175.8,0.9128,0.0014,0.9127,0.0014,0.9291,0.001,0.9288,0.001
2,Random Forest,10,0.1881,131055.0,9754.4,0.9004,0.0028,0.9003,0.0028,0.9241,0.0012,0.9238,0.0012
2,Random Forest,20,0.3597,217758.2,17090.4,0.8836,0.0011,0.8834,0.0012,0.9152,0.0012,0.9149,0.0013
2,Random Forest,30,0.5085,271098.6,22255.8,0.8699,0.0027,0.8694,0.0027,0.9046,0.0021,0.904,0.002
2,Random Forest,40,0.6371,300732.0,25583.2,0.8629,0.0029,0.8622,0.0029,0.8945,0.002,0.8937,0.0021
4,Decision Tree,0,0.0,0.0,0.0,0.9219,0.0,0.9218,0.0,0.9219,0.0,0.9218,0.0
4,Decision Tree,5,0.1867,1816607.2,9782.6,0.8412,0.0028,0.8412,0.0028,0.9124,0.0034,0.9122,0.0034
4,Decision Tree,10,0.3424,3224069.0,16630.4,0.7761,0.0058,0.776,0.0059,0.9034,0.001,0.9031,0.0009
4,Decision Tree,20,0.5906,5081996.4,24745.2,0.66,0.0031,0.66,0.0028,0.8822,0.0022,0.8816,0.0022
4,Decision Tree,30,0.7606,5862349.2,28099.2,0.5505,0.005,0.5503,0.0049,0.8503,0.0019,0.8494,0.002
4,Decision Tree,40,0.8699,5924539.8,29316.0,0.4663,0.0056,0.4663,0.0055,0.8137,0.004,0.8123,0.0042
