N_FD,Rumore_%,FD_n,FD,Gruppi_LHS,Dimensione_media,Dimensione_massima,Coppie_stesso_LHS,Conflitti_FD,Quota_coppie_in_conflitto
1,0,1,Distance -> DistanceGroup,1403,21.4,154,664642,0,0.0
1,5,1,Distance -> DistanceGroup,1402,21.4,151,630754,29735,0.0471
1,10,1,Distance -> DistanceGroup,1402,21.4,144,599197,57750,0.0964
1,20,1,Distance -> DistanceGroup,1402,21.4,129,541573,106860,0.1973
1,30,1,Distance -> DistanceGroup,1403,21.4,118,491506,151492,0.3082
1,40,1,Distance -> DistanceGroup,1403,21.4,103,446724,187658,0.4201
4,0,1,Distance -> DistanceGroup,1403,21.4,154,664642,0,0.0
4,0,2,Origin+Dest -> Distance,4624,6.5,66,190594,0,0.0
4,0,3,OriginAirportID -> Origin,322,93.2,1419,8425296,0,0.0
4,0,4,DestAirportID -> Dest,315,95.2,1398,8518554,0,0.0
4,5,1,Distance -> DistanceGroup,1403,21.4,145,598822,54989,0.0918
4,5,2,Origin+Dest -> Distance,8020,3.7,57,144690,18857,0.1303
4,5,3,OriginAirportID -> Origin,322,93.2,1346,7720603,876686,0.1136
4,5,4,DestAirportID -> Dest,315,95.2,1342,7816427,889686,0.1138
4,10,1,Distance -> DistanceGroup,1403,21.4,128,548182,104086,0.1899
4,10,2,Origin+Dest -> Distance,10895,2.8,48,109945,27693,0.2519
4,10,3,OriginAirportID -> Origin,322,93.2,1299,7074920,1533068,0.2167
4,10,4,DestAirportID -> Dest,315,95.2,1262,7143410,1518026,0.2125
4,20,1,Distance -> DistanceGroup,1403,21.4,117,462559,172785,0.3735
4,20,2,Origin+Dest -> Distance,15683,1.9,32,60232,27640,0.4589
4,20,3,OriginAirportID -> Origin,322,93.2,1139,5880674,2459136,0.4182
4,20,4,DestAirportID -> Dest,315,95.2,1134,5971441,2444405,0.4093
4,30,1,Distance -> DistanceGroup,1403,21.4,87,401193,221349,0.5517
4,30,2,Origin+Dest -> Distance,19361,1.5,28,31489,20438,0.6491
4,30,3,OriginAirportID -> Origin,322,93.2,1017,4808306,2794492,0.5812
4,30,4,DestAirportID -> Dest,315,95.2,990,4853645,2839281,0.585
4,40,1,Distance -> DistanceGroup,1403,21.4,68,367168,255819,0.6967
4,40,2,Origin+Dest -> Distance,22000,1.4,18,16778,13421,0.7999
4,40,3,OriginAirportID -> Origin,322,93.2,908,3932304,2816692,0.7163
4,40,4,DestAirportID -> Dest,315,95.2,886,3965273,2862757,0.722
