Modello,Rumore_%,IM_mean,IP_mean,IH_approx_mean,IH_esatto_mean,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
Decision Tree,0,0.0,0.0,0.0,0.0,0.9213,0.0043,0.9212,0.0044,0.9213,0.0043,0.9212,0.0044
Decision Tree,5,16.08,23.56,9.88,7.48,0.8826,0.0058,0.8826,0.0058,0.9177,0.005,0.9176,0.005
Decision Tree,10,37.48,55.04,22.2,17.56,0.8449,0.0038,0.8449,0.0037,0.9134,0.0038,0.9133,0.0038
Decision Tree,20,74.84,114.24,49.88,40.4,0.773,0.0029,0.7731,0.0028,0.9097,0.004,0.9095,0.004
Decision Tree,30,107.36,165.24,73.96,59.76,0.7026,0.0032,0.7027,0.0034,0.9011,0.0036,0.9009,0.0035
Decision Tree,40,134.56,218.24,102.24,85.68,0.6298,0.0036,0.6298,0.0037,0.8942,0.0027,0.894,0.0027
Logistic Regression,0,0.0,0.0,0.0,0.0,0.9233,0.0022,0.9231,0.0022,0.9233,0.0022,0.9231,0.0022
Logistic Regression,5,16.08,23.56,9.88,7.48,0.8365,0.0063,0.836,0.0064,0.8693,0.0053,0.8685,0.0053
Logistic Regression,10,37.48,55.04,22.2,17.56,0.7723,0.0058,0.7715,0.0058,0.831,0.0063,0.8301,0.0063
Logistic Regression,20,74.84,114.24,49.88,40.4,0.672,0.0041,0.671,0.0043,0.7776,0.0045,0.7763,0.005
Logistic Regression,30,107.36,165.24,73.96,59.76,0.5883,0.006,0.5868,0.0061,0.7314,0.0073,0.7295,0.0078
Logistic Regression,40,134.56,218.24,102.24,85.68,0.5199,0.0077,0.5182,0.0079,0.6923,0.0109,0.6896,0.0113
Neural Network,0,0.0,0.0,0.0,0.0,0.9109,0.0015,0.9107,0.0016,0.9109,0.0015,0.9107,0.0016
Neural Network,5,16.08,23.56,9.88,7.48,0.8704,0.0025,0.8703,0.0025,0.9051,0.0016,0.9049,0.0016
Neural Network,10,37.48,55.04,22.2,17.56,0.8313,0.0016,0.8311,0.0017,0.8981,0.0019,0.8978,0.002
Neural Network,20,74.84,114.24,49.88,40.4,0.7591,0.0026,0.7591,0.0027,0.8872,0.0023,0.887,0.0022
Neural Network,30,107.36,165.24,73.96,59.76,0.6905,0.0032,0.6903,0.0031,0.8782,0.0034,0.8779,0.0034
Neural Network,40,134.56,218.24,102.24,85.68,0.6232,0.0031,0.623,0.0032,0.8648,0.0033,0.8644,0.0034
Random Forest,0,0.0,0.0,0.0,0.0,0.9309,0.0013,0.9306,0.0013,0.9309,0.0013,0.9306,0.0013
Random Forest,5,16.08,23.56,9.88,7.48,0.8949,0.0049,0.8951,0.0048,0.929,0.0031,0.9287,0.0032
Random Forest,10,37.48,55.04,22.2,17.56,0.8609,0.002,0.8613,0.0019,0.9273,0.0028,0.9271,0.0028
Random Forest,20,74.84,114.24,49.88,40.4,0.7981,0.0024,0.7989,0.0022,0.9232,0.0021,0.9229,0.0021
Random Forest,30,107.36,165.24,73.96,59.76,0.7327,0.0035,0.7335,0.0035,0.916,0.0011,0.9157,0.0011
Random Forest,40,134.56,218.24,102.24,85.68,0.6752,0.0038,0.6751,0.0039,0.905,0.0021,0.9046,0.0021
