Modello,Valutazione,Metrica_Inconsistenza,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Decision Tree,test_sporco,IM,-0.9862,2.0261219219578237e-23,-0.9746,9.576625699850847e-20
Decision Tree,test_sporco,IP,-0.9873,6.462940371415224e-24,-0.9769,2.6692372721684247e-20
Decision Tree,test_sporco,IH,-0.9806,2.3181989421635096e-21,-0.9747,9.022767781353711e-20
Decision Tree,test_pulito,IM,-0.9494,1.289491389361051e-15,-0.9068,5.132299832538936e-12
Decision Tree,test_pulito,IP,-0.9535,4.0475220067953703e-16,-0.9166,1.1462755501767916e-12
Decision Tree,test_pulito,IH,-0.9502,1.0374192167462384e-15,-0.9057,6.030621672906833e-12
Logistic Regression,test_sporco,IM,-0.9647,9.230578958699667e-18,-0.9826,5.260473831746601e-22
Logistic Regression,test_sporco,IP,-0.9578,1.0653978598498369e-16,-0.9835,2.5311468657950753e-22
Logistic Regression,test_sporco,IH,-0.9315,8.063962521403216e-14,-0.982,8.166411012498726e-22
Logistic Regression,test_pulito,IM,-0.9408,1.1095098186380796e-14,-0.9853,5.15740485791926e-23
Logistic Regression,test_pulito,IP,-0.9309,9.036542270407893e-14,-0.9848,7.811879645361119e-23
Logistic Regression,test_pulito,IH,-0.8986,1.5823551693217715e-11,-0.9869,9.640818920318961e-24
Neural Network,test_sporco,IM,-0.989,8.594107636393799e-25,-0.9794,5.204962849293762e-21
Neural Network,test_sporco,IP,-0.9887,1.2508005924366393e-24,-0.9821,7.477793540640871e-22
Neural Network,test_sporco,IH,-0.976,4.5695612075617595e-20,-0.98,3.556864686508815e-21
Neural Network,test_pulito,IM,-0.9621,2.416769448586746e-17,-0.9701,9.502732854092996e-19
Neural Network,test_pulito,IP,-0.9716,4.494785469675072e-19,-0.9705,7.71986223205023e-19
Neural Network,test_pulito,IH,-0.9778,1.5047913170171128e-20,-0.9737,1.5467430918942574e-19
Random Forest,test_sporco,IM,-0.9866,1.346523257845149e-23,-0.9747,9.022647356189365e-20
Random Forest,test_sporco,IP,-0.9865,1.5012623307422882e-23,-0.9761,4.23819024573284e-20
Random Forest,test_sporco,IH,-0.9762,3.877158725185277e-20,-0.9737,1.5515348239724557e-19
Random Forest,test_pulito,IM,-0.9704,8.072249607414239e-19,-0.9602,4.7784016694111305e-17
Random Forest,test_pulito,IP,-0.9778,1.5323856972973824e-20,-0.9609,3.7821016452114816e-17
Random Forest,test_pulito,IH,-0.9825,5.763709910046802e-22,-0.9601,4.9740285343263726e-17
