Rumore_%,Rep,Seed,Modello,IM,IP,IH,Accuracy_test_sporco,Precision_test_sporco,Recall_test_sporco,F1_Score_test_sporco,Accuracy_test_sporco_std,F1_Score_test_sporco_std,Accuracy_test_pulito,Precision_test_pulito,Recall_test_pulito,F1_Score_test_pulito,Accuracy_test_pulito_std,F1_Score_test_pulito_std,Quota_train_sporca
0,0,100,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,0,100,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,0,100,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,0,100,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,1,101,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,1,101,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,1,101,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,1,101,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,2,102,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,2,102,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,2,102,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,2,102,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,3,103,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,3,103,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,3,103,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,3,103,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
0,4,104,Logistic Regression,0,0,0,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.9222,0.9221,0.9222,0.9218,0.008,0.0081,0.0
0,4,104,Random Forest,0,0,0,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.9347,0.9348,0.9347,0.9345,0.0045,0.0045,0.0
0,4,104,Decision Tree,0,0,0,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.9219,0.9218,0.9219,0.9218,0.0038,0.0038,0.0
0,4,104,Neural Network,0,0,0,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.9153,0.9155,0.9153,0.9152,0.007,0.0072,0.0
5,0,100,Logistic Regression,336,408,106,0.835,0.8346,0.835,0.8343,0.0114,0.0113,0.8692,0.8687,0.8692,0.8685,0.0119,0.0118,0.052
5,0,100,Random Forest,336,408,106,0.8909,0.8916,0.8909,0.891,0.0051,0.0052,0.9289,0.9289,0.9289,0.9287,0.0035,0.0035,0.052
5,0,100,Decision Tree,336,408,106,0.8817,0.8822,0.8817,0.8818,0.0086,0.0087,0.9189,0.9191,0.9189,0.9189,0.008,0.008,0.052
5,0,100,Neural Network,336,408,106,0.8732,0.8732,0.8732,0.873,0.0054,0.0053,0.9094,0.9093,0.9094,0.9092,0.0065,0.0066,0.052
5,1,101,Logistic Regression,353,414,107,0.8447,0.8445,0.8447,0.8442,0.0104,0.0105,0.8775,0.877,0.8775,0.8768,0.0078,0.0078,0.0485
5,1,101,Random Forest,353,414,107,0.896,0.8969,0.896,0.8963,0.0103,0.0104,0.9284,0.9286,0.9284,0.9283,0.0027,0.0027,0.0485
5,1,101,Decision Tree,353,414,107,0.8829,0.8836,0.8829,0.8831,0.0129,0.0128,0.9173,0.9174,0.9173,0.9172,0.0092,0.0093,0.0485
5,1,101,Neural Network,353,414,107,0.876,0.8761,0.876,0.8758,0.0059,0.0059,0.9099,0.9099,0.9099,0.9096,0.0053,0.0054,0.0485
5,2,102,Logistic Regression,538,611,129,0.8352,0.8351,0.8352,0.8347,0.0095,0.0095,0.8676,0.8672,0.8676,0.8669,0.0081,0.0083,0.0488
5,2,102,Random Forest,538,611,129,0.8954,0.8964,0.8954,0.8956,0.0036,0.0036,0.9297,0.9297,0.9297,0.9294,0.0035,0.0035,0.0488
5,2,102,Decision Tree,538,611,129,0.8879,0.8881,0.8879,0.8879,0.0051,0.0051,0.9219,0.922,0.9219,0.9219,0.0041,0.0041,0.0488
5,2,102,Neural Network,538,611,129,0.8771,0.8772,0.8771,0.8769,0.0124,0.0126,0.9109,0.9108,0.9109,0.9106,0.0116,0.0119,0.0488
5,3,103,Logistic Regression,455,539,129,0.8335,0.8329,0.8335,0.8329,0.012,0.0119,0.866,0.8654,0.866,0.8653,0.0127,0.0126,0.0503
5,3,103,Random Forest,455,539,129,0.896,0.8969,0.896,0.8962,0.0068,0.0068,0.9313,0.9313,0.9313,0.931,0.0034,0.0034,0.0503
5,3,103,Decision Tree,455,539,129,0.8815,0.8813,0.8815,0.8812,0.0086,0.0087,0.9194,0.9193,0.9194,0.9193,0.0049,0.005,0.0503
5,3,103,Neural Network,455,539,129,0.8732,0.8732,0.8732,0.873,0.0051,0.0052,0.9066,0.9066,0.9066,0.9064,0.0076,0.0078,0.0503
5,4,104,Logistic Regression,372,445,113,0.8475,0.8475,0.8475,0.847,0.0066,0.0068,0.88,0.8796,0.88,0.8793,0.0071,0.007,0.0477
5,4,104,Random Forest,372,445,113,0.8953,0.8959,0.8953,0.8954,0.0068,0.0068,0.9289,0.9289,0.9289,0.9286,0.0036,0.0036,0.0477
5,4,104,Decision Tree,372,445,113,0.8813,0.8818,0.8813,0.8814,0.0076,0.0077,0.9171,0.9171,0.9171,0.917,0.0074,0.0076,0.0477
5,4,104,Neural Network,372,445,113,0.8759,0.8759,0.8759,0.8757,0.008,0.008,0.9091,0.909,0.9091,0.9089,0.0072,0.0073,0.0477
10,0,100,Logistic Regression,809,983,260,0.7761,0.7752,0.7761,0.7753,0.0098,0.01,0.8365,0.8353,0.8365,0.8355,0.0102,0.0101,0.0995
10,0,100,Random Forest,809,983,260,0.8645,0.8667,0.8645,0.8653,0.0065,0.0065,0.9273,0.9273,0.9273,0.927,0.0055,0.0056,0.0995
10,0,100,Decision Tree,809,983,260,0.8511,0.8515,0.8511,0.8511,0.0083,0.0087,0.919,0.9191,0.919,0.9189,0.0038,0.0039,0.0995
10,0,100,Neural Network,809,983,260,0.8398,0.8396,0.8398,0.8395,0.0024,0.0026,0.9058,0.9057,0.9058,0.9056,0.0073,0.0076,0.0995
