N_FD,Modello,Rumore_%,Quota_train_sporca,IM_mean,IP_mean,IH_approx_mean,IH_esatto_mean,Accuracy_test_sporco_mean,Accuracy_test_sporco_sd,F1_test_sporco_mean,F1_test_sporco_sd,Accuracy_test_pulito_mean,Accuracy_test_pulito_sd,F1_test_pulito_mean,F1_test_pulito_sd
1,Decision Tree,0,0.0,0.0,0.0,0.0,0.0,0.9213,0.0043,0.9212,0.0044,0.9213,0.0043,0.9212,0.0044
1,Decision Tree,5,0.0485,1306.04,1389.8,402.92,247.68,0.886,0.0033,0.8859,0.0034,0.9176,0.0034,0.9174,0.0034
1,Decision Tree,10,0.0981,2596.16,2537.84,802.88,501.92,0.8516,0.0037,0.8516,0.0038,0.912,0.0031,0.9119,0.003
1,Decision Tree,20,0.196,4812.8,4026.2,1549.32,999.24,0.8011,0.0041,0.8013,0.0041,0.9054,0.0032,0.9052,0.0032
1,Decision Tree,30,0.2969,6957.16,4995.12,2291.72,1524.72,0.7519,0.0048,0.7522,0.005,0.8962,0.0036,0.896,0.0036
1,Decision Tree,40,0.3971,8665.24,5552.68,2929.6,2017.56,0.7076,0.0059,0.7079,0.006,0.8827,0.0019,0.8824,0.0021
1,Logistic Regression,0,0.0,0.0,0.0,0.0,0.0,0.9233,0.0022,0.9231,0.0022,0.9233,0.0022,0.9231,0.0022
1,Logistic Regression,5,0.0485,1306.04,1389.8,402.92,247.68,0.8345,0.0046,0.834,0.0046,0.8594,0.004,0.8587,0.004
1,Logistic Regression,10,0.0981,2596.16,2537.84,802.88,501.92,0.7704,0.0075,0.7696,0.0077,0.8103,0.0069,0.809,0.0071
1,Logistic Regression,20,0.196,4812.8,4026.2,1549.32,999.24,0.6947,0.0078,0.6934,0.0079,0.753,0.0091,0.7507,0.0094
1,Logistic Regression,30,0.2969,6957.16,4995.12,2291.72,1524.72,0.6489,0.0083,0.647,0.0086,0.7158,0.008,0.7123,0.0087
1,Logistic Regression,40,0.3971,8665.24,5552.68,2929.6,2017.56,0.6186,0.0059,0.6161,0.0061,0.6879,0.0091,0.6835,0.0096
1,Neural Network,0,0.0,0.0,0.0,0.0,0.0,0.9109,0.0015,0.9107,0.0016,0.9109,0.0015,0.9107,0.0016
1,Neural Network,5,0.0485,1306.04,1389.8,402.92,247.68,0.8869,0.0036,0.8868,0.0037,0.9006,0.0034,0.9004,0.0034
1,Neural Network,10,0.0981,2596.16,2537.84,802.88,501.92,0.8812,0.003,0.881,0.003,0.8968,0.0025,0.8966,0.0025
1,Neural Network,20,0.196,4812.8,4026.2,1549.32,999.24,0.8797,0.0027,0.8795,0.0027,0.8947,0.0029,0.8945,0.0028
1,Neural Network,30,0.2969,6957.16,4995.12,2291.72,1524.72,0.8801,0.0022,0.88,0.0021,0.8927,0.0026,0.8925,0.0026
1,Neural Network,40,0.3971,8665.24,5552.68,2929.6,2017.56,0.8819,0.0015,0.8818,0.0015,0.891,0.0019,0.8908,0.0019
1,Random Forest,0,0.0,0.0,0.0,0.0,0.0,0.9309,0.0013,0.9306,0.0013,0.9309,0.0013,0.9306,0.0013
1,Random Forest,5,0.0485,1306.04,1389.8,402.92,247.68,0.9214,0.0033,0.9212,0.0032,0.9296,0.0035,0.9293,0.0035
1,Random Forest,10,0.0981,2596.16,2537.84,802.88,501.92,0.9125,0.0022,0.9123,0.0022,0.9271,0.0023,0.9268,0.0023
1,Random Forest,20,0.196,4812.8,4026.2,1549.32,999.24,0.903,0.0026,0.9029,0.0026,0.9235,0.0015,0.9232,0.0015
1,Random Forest,30,0.2969,6957.16,4995.12,2291.72,1524.72,0.8949,0.0018,0.8947,0.0017,0.921,0.0015,0.9207,0.0014
1,Random Forest,40,0.3971,8665.24,5552.68,2929.6,2017.56,0.8879,0.0028,0.8876,0.0028,0.9156,0.0022,0.9152,0.0021
2,Decision Tree,0,0.0,0.0,0.0,0.0,,0.9213,0.0043,0.9212,0.0044,0.9213,0.0043,0.9212,0.0044
2,Decision Tree,5,0.097,3603.84,3093.12,916.08,,0.8544,0.0041,0.8543,0.0041,0.9136,0.0033,0.9134,0.0034
2,Decision Tree,10,0.1886,6579.36,4592.2,1728.68,,0.8018,0.0045,0.8018,0.0046,0.907,0.0027,0.9068,0.0027
2,Decision Tree,20,0.3573,10760.72,5779.88,2996.6,,0.7269,0.0037,0.7272,0.0036,0.8909,0.0058,0.8907,0.0059
2,Decision Tree,30,0.5076,13492.0,6171.6,3917.12,,0.6709,0.0057,0.6716,0.0057,0.8732,0.0031,0.8728,0.0032
2,Decision Tree,40,0.641,14741.64,6311.56,4486.92,,0.644,0.0123,0.6444,0.0119,0.8423,0.0037,0.8417,0.0036
2,Logistic Regression,0,0.0,0.0,0.0,0.0,,0.9233,0.0022,0.9231,0.0022,0.9233,0.0022,0.9231,0.0022
2,Logistic Regression,5,0.097,3603.84,3093.12,916.08,,0.7747,0.0038,0.7739,0.0038,0.8189,0.004,0.8177,0.0041
2,Logistic Regression,10,0.1886,6579.36,4592.2,1728.68,,0.6992,0.0088,0.6981,0.0091,0.7614,0.0078,0.7596,0.0082
2,Logistic Regression,20,0.3573,10760.72,5779.88,2996.6,,0.619,0.0088,0.6172,0.0091,0.7038,0.0099,0.7006,0.0103
2,Logistic Regression,30,0.5076,13492.0,6171.6,3917.12,,0.5843,0.0076,0.5819,0.0078,0.6688,0.0076,0.6647,0.0077
2,Logistic Regression,40,0.641,14741.64,6311.56,4486.92,,0.5564,0.002,0.5534,0.0021,0.6405,0.0062,0.6353,0.0059
2,Neural Network,0,0.0,0.0,0.0,0.0,,0.9109,0.0015,0.9107,0.0016,0.9109,0.0015,0.9107,0.0016
2,Neural Network,5,0.097,3603.84,3093.12,916.08,,0.8714,0.001,0.8711,0.0012,0.8977,0.0022,0.8974,0.0023
2,Neural Network,10,0.1886,6579.36,4592.2,1728.68,,0.859,0.0042,0.8588,0.0044,0.8906,0.003,0.8905,0.0031
2,Neural Network,20,0.3573,10760.72,5779.88,2996.6,,0.8458,0.0026,0.8456,0.0026,0.8833,0.0031,0.8831,0.0031
2,Neural Network,30,0.5076,13492.0,6171.6,3917.12,,0.8409,0.0052,0.8408,0.0053,0.8771,0.0056,0.8769,0.0056
2,Neural Network,40,0.641,14741.64,6311.56,4486.92,,0.8323,0.0016,0.8321,0.0017,0.8697,0.0023,0.8695,0.0023
2,Random Forest,0,0.0,0.0,0.0,0.0,,0.9309,0.0013,0.9306,0.0013,0.9309,0.0013,0.9306,0.0013
2,Random Forest,5,0.097,3603.84,3093.12,916.08,,0.9098,0.0032,0.9097,0.0032,0.9267,0.0026,0.9264,0.0026
2,Random Forest,10,0.1886,6579.36,4592.2,1728.68,,0.8977,0.0019,0.8976,0.0018,0.9222,0.0022,0.9219,0.0022
2,Random Forest,20,0.3573,10760.72,5779.88,2996.6,,0.8816,0.0032,0.8814,0.0033,0.9147,0.0013,0.9143,0.0013
2,Random Forest,30,0.5076,13492.0,6171.6,3917.12,,0.87,0.0038,0.8697,0.0038,0.9055,0.0031,0.905,0.003
2,Random Forest,40,0.641,14741.64,6311.56,4486.92,,0.862,0.0028,0.8616,0.0029,0.8938,0.0019,0.8932,0.002
4,Decision Tree,0,0.0,0.0,0.0,0.0,,0.9213,0.0043,0.9212,0.0044,0.9213,0.0043,0.9212,0.0044
