N_FD,Regime,Modello,Valutazione,Metrica_Inconsistenza,N_punti,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
1,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.9981,2.1077921505933394e-35,-0.9803,2.8088051057982117e-21
1,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.8132,4.7428012509839894e-08,-0.9655,6.678856140683113e-18
1,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.9973,2.420206532551895e-33,-0.9803,2.8088051057982117e-21
1,tutti i livelli,Decision Tree,test_pulito,IM,30,-0.9707,6.958782203061154e-19,-0.9753,6.608889929211725e-20
1,tutti i livelli,Decision Tree,test_pulito,IP,30,-0.7135,9.596566583733185e-06,-0.9739,1.4157558334598896e-19
1,tutti i livelli,Decision Tree,test_pulito,IH,30,-0.9749,8.233907199375669e-20,-0.9802,3.043299268654429e-21
1,tutti i livelli,Logistic Regression,test_sporco,IM,30,-0.9781,1.2193946023222547e-20,-0.9808,2.0414099691933903e-21
1,tutti i livelli,Logistic Regression,test_sporco,IP,30,-0.8996,1.3954373496307692e-11,-0.9763,3.8210827092883474e-20
1,tutti i livelli,Logistic Regression,test_sporco,IH,30,-0.9729,2.381898297073275e-19,-0.9835,2.5311468657950753e-22
1,tutti i livelli,Logistic Regression,test_pulito,IM,30,-0.9849,7.468830652294397e-23,-0.9893,6.121405258356799e-25
1,tutti i livelli,Logistic Regression,test_pulito,IP,30,-0.8837,9.850537292580038e-11,-0.9718,4.1807617280694933e-19
1,tutti i livelli,Logistic Regression,test_pulito,IH,30,-0.9804,2.709525626329906e-21,-0.9897,3.3827232322330946e-25
1,tutti i livelli,Neural Network,test_sporco,IM,30,-0.7393,3.0654306680710883e-06,-0.7863,2.597934235877224e-07
1,tutti i livelli,Neural Network,test_sporco,IP,30,-0.9846,9.4229095533836e-23,-0.7901,2.0752870755012744e-07
1,tutti i livelli,Neural Network,test_sporco,IH,30,-0.7271,5.330171405305626e-06,-0.8042,8.605066860542295e-08
1,tutti i livelli,Neural Network,test_pulito,IM,30,-0.8808,1.3694603945394816e-10,-0.9103,3.0822262085525585e-12
1,tutti i livelli,Neural Network,test_pulito,IP,30,-0.9613,3.2455714958255905e-17,-0.9244,3.0562343125708013e-13
1,tutti i livelli,Neural Network,test_pulito,IH,30,-0.8735,2.9771133569433344e-10,-0.9252,2.628726230559636e-13
1,tutti i livelli,Random Forest,test_sporco,IM,30,-0.9912,4.1486238500511313e-26,-0.9744,1.0813138232867194e-19
1,tutti i livelli,Random Forest,test_sporco,IP,30,-0.8639,7.824770316883961e-10,-0.9759,4.650188157636712e-20
1,tutti i livelli,Random Forest,test_sporco,IH,30,-0.9888,1.082594076977277e-24,-0.9744,1.0813138232867194e-19
1,tutti i livelli,Random Forest,test_pulito,IM,30,-0.9901,2.0616499744367928e-25,-0.9823,6.298343225974916e-22
1,tutti i livelli,Random Forest,test_pulito,IP,30,-0.7918,1.8695003627918917e-07,-0.9707,7.183516208254405e-19
1,tutti i livelli,Random Forest,test_pulito,IH,30,-0.9903,1.4799274780336878e-25,-0.9761,4.23819024573284e-20
2,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.9959,9.572948370966665e-31,-0.9742,1.2233745137916856e-19
2,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.6968,1.8901348204005567e-05,-0.9701,9.295650223419156e-19
2,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.9984,2.035350303080317e-36,-0.9766,3.059059707935124e-20
2,tutti i livelli,Decision Tree,test_pulito,IM,30,-0.9325,6.587526703177748e-14,-0.969,1.5019713160408788e-18
2,tutti i livelli,Decision Tree,test_pulito,IP,30,-0.5352,0.0023055504405426253,-0.9574,1.2378910556266988e-16
2,tutti i livelli,Decision Tree,test_pulito,IH,30,-0.9515,7.179114478972048e-16,-0.9717,4.29330286145738e-19
2,tutti i livelli,Logistic Regression,test_sporco,IM,30,-0.9922,7.072753054361256e-27,-0.9794,5.204962849293762e-21
2,tutti i livelli,Logistic Regression,test_sporco,IP,30,-0.8072,7.070613031956199e-08,-0.9691,1.4698466490897373e-18
2,tutti i livelli,Logistic Regression,test_sporco,IH,30,-0.9838,1.933065454011782e-22,-0.9803,2.8088051057982117e-21
2,tutti i livelli,Logistic Regression,test_pulito,IM,30,-0.9962,3.491929568390662e-31,-0.982,8.166411012498726e-22
2,tutti i livelli,Logistic Regression,test_pulito,IP,30,-0.7799,3.7614228911998695e-07,-0.971,6.030109213257944e-19
2,tutti i livelli,Logistic Regression,test_pulito,IH,30,-0.9909,6.115583875982567e-26,-0.9791,6.524251825425889e-21
2,tutti i livelli,Neural Network,test_sporco,IM,30,-0.9692,1.383422260247939e-18,-0.9701,9.502732854092996e-19
2,tutti i livelli,Neural Network,test_sporco,IP,30,-0.8598,1.1565278649431357e-09,-0.9666,4.309203902425614e-18
2,tutti i livelli,Neural Network,test_sporco,IH,30,-0.9592,6.663398320251062e-17,-0.9803,2.8088051057982117e-21
2,tutti i livelli,Neural Network,test_pulito,IM,30,-0.9879,3.356761922504371e-24,-0.9709,6.251358097959079e-19
2,tutti i livelli,Neural Network,test_pulito,IP,30,-0.7563,1.337848494994211e-06,-0.97,9.723478084868792e-19
2,tutti i livelli,Neural Network,test_pulito,IH,30,-0.9878,3.6015162774179235e-24,-0.9772,2.1769374875061334e-20
2,tutti i livelli,Random Forest,test_sporco,IM,30,-0.9925,3.862666308276153e-27,-0.975,7.953265043349885e-20
2,tutti i livelli,Random Forest,test_sporco,IP,30,-0.7197,7.373670851565949e-06,-0.9718,4.0900962289652558e-19
2,tutti i livelli,Random Forest,test_sporco,IH,30,-0.995,1.30434217842265e-29,-0.9803,2.8088051057982117e-21
2,tutti i livelli,Random Forest,test_pulito,IM,30,-0.9711,5.923047660293253e-19,-0.9799,3.8368195451117815e-21
2,tutti i livelli,Random Forest,test_pulito,IP,30,-0.6215,0.0002466542050143987,-0.9632,1.648460287073369e-17
2,tutti i livelli,Random Forest,test_pulito,IH,30,-0.9825,5.727980705630725e-22,-0.9741,1.2927756460572844e-19
4,tutti i livelli,Decision Tree,test_sporco,IM,30,-0.9468,2.5894608286360137e-15,-0.9732,2.066645482418822e-19
4,tutti i livelli,Decision Tree,test_sporco,IP,30,-0.5901,0.000599051860378547,-0.6473,0.00011057019898609192
4,tutti i livelli,Decision Tree,test_sporco,IH,30,-0.9462,3.006285281646744e-15,-0.979,7.014384604906521e-21
4,tutti i livelli,Decision Tree,test_pulito,IM,30,-0.8754,2.45229422697972e-10,-0.9766,3.049688165069821e-20
4,tutti i livelli,Decision Tree,test_pulito,IP,30,-0.4888,0.006124435775908228,-0.6474,0.00011031025175330423
4,tutti i livelli,Decision Tree,test_pulito,IH,30,-0.8758,2.3427350096010847e-10,-0.9796,4.833391147972704e-21
4,tutti i livelli,Logistic Regression,test_sporco,IM,30,-0.9897,3.442119116073696e-25,-0.9656,6.482262720076584e-18
4,tutti i livelli,Logistic Regression,test_sporco,IP,30,-0.7174,8.146488049302689e-06,-0.6473,0.00011057019898609192
4,tutti i livelli,Logistic Regression,test_sporco,IH,30,-0.9912,3.766602234326767e-26,-0.9857,3.36140537081899e-23
4,tutti i livelli,Logistic Regression,test_pulito,IM,30,-0.9876,4.600641403926832e-24,-0.9714,5.04544776422287e-19
4,tutti i livelli,Logistic Regression,test_pulito,IP,30,-0.7158,8.698661501702028e-06,-0.6473,0.00011057019898609192
4,tutti i livelli,Logistic Regression,test_pulito,IH,30,-0.9895,4.840700887084727e-25,-0.9794,5.204962849293762e-21
4,tutti i livelli,Neural Network,test_sporco,IM,30,-0.9543,3.2034955123734736e-16,-0.9736,1.637827453710663e-19
4,tutti i livelli,Neural Network,test_sporco,IP,30,-0.605,0.0003975400271355708,-0.6473,0.00011057019898609192
4,tutti i livelli,Neural Network,test_sporco,IH,30,-0.9533,4.3364880225110174e-16,-0.979,7.014384604906521e-21
4,tutti i livelli,Neural Network,test_pulito,IM,30,-0.8938,2.950130442585956e-11,-0.9714,5.04544776422287e-19
4,tutti i livelli,Neural Network,test_pulito,IP,30,-0.5325,0.0024507331973756363,-0.6473,0.00011057019898609192
4,tutti i livelli,Neural Network,test_pulito,IH,30,-0.8953,2.444506424959302e-11,-0.9709,6.251358097959079e-19
4,tutti i livelli,Random Forest,test_sporco,IM,30,-0.9108,2.8628186467275424e-12,-0.9775,1.7755443998333838e-20
4,tutti i livelli,Random Forest,test_sporco,IP,30,-0.528,0.002712416382708824,-0.6474,0.00011031025175330423
4,tutti i livelli,Random Forest,test_sporco,IH,30,-0.9098,3.2995641614588746e-12,-0.9632,1.6111871486317487e-17
4,tutti i livelli,Random Forest,test_pulito,IM,30,-0.864,7.746581914462259e-10,-0.9673,3.2607227713077212e-18
4,tutti i livelli,Random Forest,test_pulito,IP,30,-0.4933,0.005601746177171961,-0.6474,0.00011031025175330423
4,tutti i livelli,Random Forest,test_pulito,IH,30,-0.8665,6.090246332313278e-10,-0.9702,9.038297675513883e-19
