Config_FD,Modello,Rumore_%,Accuracy,Accuracy_sd,F1_weighted,F1_weighted_sd,F1_macro,IM,IP,IH,Righe_train_sporcate
C1,Decision Tree,0,0.9717,0.0017,0.9716,0.0017,0.9716,0.0,0.0,0.0,0.0
C1,Decision Tree,5,0.97,0.0004,0.9699,0.0004,0.9699,765.3333,878.3333,113.0,2225.0
C1,Decision Tree,10,0.9693,0.0002,0.9692,0.0002,0.9692,1950.0,2229.0,311.0,4451.0
C1,Decision Tree,15,0.967,0.0011,0.967,0.0011,0.967,2358.6667,2704.3333,463.0,6676.3333
C1,Decision Tree,20,0.965,0.001,0.965,0.0011,0.965,3617.0,4234.3333,775.0,8902.0
C1,Decision Tree,25,0.9641,0.0017,0.964,0.0017,0.964,4239.3333,5041.3333,1041.6667,11128.0
C1,Decision Tree,30,0.9629,0.0021,0.9628,0.0022,0.9628,4435.0,5527.3333,1352.6667,13353.3333
C1,Decision Tree,35,0.9609,0.0016,0.9608,0.0016,0.9608,5386.3333,6673.3333,1749.6667,15579.0
C1,Decision Tree,40,0.9583,0.0011,0.9582,0.0011,0.9582,5997.6667,7637.6667,2159.6667,17805.0
C1,Logistic Regression,0,0.9534,0.0004,0.9533,0.0003,0.9533,0.0,0.0,0.0,0.0
C1,Logistic Regression,5,0.9344,0.0012,0.9341,0.0012,0.9341,765.3333,878.3333,113.0,2225.0
C1,Logistic Regression,10,0.9317,0.0022,0.9314,0.0022,0.9314,1950.0,2229.0,311.0,4451.0
C1,Logistic Regression,15,0.9291,0.0009,0.9288,0.0009,0.9288,2358.6667,2704.3333,463.0,6676.3333
C1,Logistic Regression,20,0.9275,0.0015,0.9273,0.0015,0.9273,3617.0,4234.3333,775.0,8902.0
C1,Logistic Regression,25,0.9255,0.0023,0.9253,0.0024,0.9253,4239.3333,5041.3333,1041.6667,11128.0
C1,Logistic Regression,30,0.9238,0.0017,0.9235,0.0017,0.9235,4435.0,5527.3333,1352.6667,13353.3333
C1,Logistic Regression,35,0.9215,0.0016,0.9212,0.0016,0.9212,5386.3333,6673.3333,1749.6667,15579.0
C1,Logistic Regression,40,0.9204,0.0024,0.92,0.0025,0.92,5997.6667,7637.6667,2159.6667,17805.0
C1,Neural Network,0,0.9712,0.0018,0.9711,0.0018,0.9711,0.0,0.0,0.0,0.0
C1,Neural Network,5,0.9696,0.0015,0.9695,0.0015,0.9695,765.3333,878.3333,113.0,2225.0
C1,Neural Network,10,0.9682,0.001,0.9682,0.001,0.9682,1950.0,2229.0,311.0,4451.0
C1,Neural Network,15,0.9671,0.001,0.967,0.001,0.967,2358.6667,2704.3333,463.0,6676.3333
C1,Neural Network,20,0.9664,0.0023,0.9663,0.0023,0.9663,3617.0,4234.3333,775.0,8902.0
C1,Neural Network,25,0.9646,0.0008,0.9646,0.0007,0.9646,4239.3333,5041.3333,1041.6667,11128.0
C1,Neural Network,30,0.9638,0.0012,0.9637,0.0012,0.9637,4435.0,5527.3333,1352.6667,13353.3333
C1,Neural Network,35,0.9596,0.001,0.9596,0.001,0.9596,5386.3333,6673.3333,1749.6667,15579.0
C1,Neural Network,40,0.9602,0.002,0.9602,0.002,0.9602,5997.6667,7637.6667,2159.6667,17805.0
C1,Random Forest,0,0.9766,0.0007,0.9765,0.0008,0.9765,0.0,0.0,0.0,0.0
C1,Random Forest,5,0.9752,0.0004,0.9751,0.0004,0.9751,765.3333,878.3333,113.0,2225.0
C1,Random Forest,10,0.9752,0.001,0.9751,0.001,0.9751,1950.0,2229.0,311.0,4451.0
C1,Random Forest,15,0.9735,0.0008,0.9734,0.0008,0.9734,2358.6667,2704.3333,463.0,6676.3333
C1,Random Forest,20,0.9727,0.001,0.9726,0.001,0.9726,3617.0,4234.3333,775.0,8902.0
C1,Random Forest,25,0.9714,0.0006,0.9713,0.0006,0.9713,4239.3333,5041.3333,1041.6667,11128.0
C1,Random Forest,30,0.9696,0.0007,0.9695,0.0007,0.9695,4435.0,5527.3333,1352.6667,13353.3333
C1,Random Forest,35,0.9681,0.0011,0.968,0.0011,0.968,5386.3333,6673.3333,1749.6667,15579.0
C1,Random Forest,40,0.9663,0.002,0.9662,0.0021,0.9662,5997.6667,7637.6667,2159.6667,17805.0
C2,Decision Tree,0,0.9717,0.0017,0.9716,0.0017,0.9716,0.0,0.0,0.0,0.0
C2,Decision Tree,5,0.9694,0.001,0.9694,0.001,0.9694,62630.3333,34523.0,2031.6667,2225.0
C2,Decision Tree,10,0.9682,0.0012,0.9682,0.0012,0.9682,122658.6667,42482.3333,4068.3333,4451.0
C2,Decision Tree,15,0.9662,0.0008,0.9662,0.0009,0.9662,176894.6667,44221.6667,6116.0,6676.3333
C2,Decision Tree,20,0.9634,0.0018,0.9634,0.0018,0.9634,229145.6667,44425.0,8133.6667,8902.0
C2,Decision Tree,25,0.9641,0.0013,0.964,0.0013,0.964,277550.0,44448.3333,10186.3333,11128.0
C2,Decision Tree,30,0.961,0.0007,0.961,0.0006,0.961,321914.0,44504.6667,12191.3333,13353.3333
C2,Decision Tree,35,0.9575,0.0016,0.9574,0.0015,0.9574,369026.6667,44513.3333,14230.0,15579.0
C2,Decision Tree,40,0.9543,0.0009,0.9542,0.0008,0.9542,407108.3333,44513.3333,16302.0,17805.0
C2,Logistic Regression,0,0.9534,0.0004,0.9533,0.0003,0.9533,0.0,0.0,0.0,0.0
C2,Logistic Regression,5,0.9037,0.0045,0.9034,0.0045,0.9034,62630.3333,34523.0,2031.6667,2225.0
C2,Logistic Regression,10,0.865,0.001,0.8645,0.0009,0.8645,122658.6667,42482.3333,4068.3333,4451.0
C2,Logistic Regression,15,0.8298,0.0025,0.8291,0.0026,0.8291,176894.6667,44221.6667,6116.0,6676.3333
C2,Logistic Regression,20,0.804,0.0031,0.8029,0.003,0.8029,229145.6667,44425.0,8133.6667,8902.0
C2,Logistic Regression,25,0.7762,0.0011,0.7748,0.0012,0.7748,277550.0,44448.3333,10186.3333,11128.0
C2,Logistic Regression,30,0.7564,0.0039,0.7547,0.004,0.7547,321914.0,44504.6667,12191.3333,13353.3333
C2,Logistic Regression,35,0.7352,0.0054,0.7329,0.0056,0.7329,369026.6667,44513.3333,14230.0,15579.0
