Modello,Ambito,Metrica,N_punti,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
Decision Tree,tutte le configurazioni,IM,99,-0.4241,1.2182201137449074e-05,-0.486,3.402116662141334e-07
Decision Tree,tutte le configurazioni,IP,99,-0.2683,0.007243582393831176,-0.4775,5.806189833872911e-07
Decision Tree,tutte le configurazioni,IH,99,-0.7616,5.631144032429262e-20,-0.7211,3.868463822886452e-17
Decision Tree,C1,IM,27,-0.938,5.274525829063205e-13,-0.9414,2.6724595347530643e-13
Decision Tree,C1,IP,27,-0.9494,4.4040178060007476e-14,-0.9554,9.403387074425507e-15
Decision Tree,C1,IH,27,-0.9536,1.539781707946768e-14,-0.9617,1.4704887822001995e-15
Decision Tree,C2,IM,27,-0.9544,1.242252687093269e-14,-0.9676,1.8361967826549995e-16
Decision Tree,C2,IP,27,-0.5992,0.00095730237184746,-0.9503,3.506423182170574e-14
Decision Tree,C2,IH,27,-0.9642,6.234776916021272e-16,-0.9707,5.4093065648174703e-17
Decision Tree,C3,IM,27,-0.9496,4.20763463344961e-14,-0.9743,1.0394769426582456e-17
Decision Tree,C3,IP,27,-0.4976,0.00827301464464941,-0.8047,4.211635775659081e-07
Decision Tree,C3,IH,27,-0.9605,2.0935084173445883e-15,-0.9633,8.459154702387908e-16
Decision Tree,C4,IM,27,-0.9419,2.372080903022429e-13,-0.9615,1.541298111251202e-15
Decision Tree,C4,IP,27,-0.5105,0.006517523942149592,-0.3091,0.11668832549335101
Decision Tree,C4,IH,27,-0.9488,5.127350415261683e-14,-0.956,7.940442121531174e-15
Logistic Regression,tutte le configurazioni,IM,99,-0.6626,8.040942980268202e-14,-0.8385,2.5310834643252343e-27
Logistic Regression,tutte le configurazioni,IP,99,-0.7715,9.331489934670742e-21,-0.8171,6.218935457042575e-25
Logistic Regression,tutte le configurazioni,IH,99,-0.9876,7.914308439015401e-80,-0.9941,2.847120630451822e-95
Logistic Regression,C1,IM,27,-0.871,3.4272449107282556e-09,-0.9444,1.392449509063564e-13
