Config_FD,N_FD,Rumore_%,Fold,Seed,Modello,IM,IP,IH,IH_min,IM_FD1,IM_FD2,IM_FD3,IM_FD4,Colonne_sporcate,Righe_train,Righe_train_sporcate,Righe_test,Righe_test_modificate,Accuracy,Precision,Recall,F1_weighted,F1_macro,Tempo_s,Iterazioni,Tempo_lavoro_s,Baseline_condivisa
C1,1,0,2,1200,Logistic Regression,0,0,0,0,0,,,,0,44514,0,22256,0,0.9532260963335729,0.9531570902106247,0.9532260963335729,0.9531033975078459,0.9531031199660583,2.5,165.0,239.5,True
C1,1,0,2,1200,Random Forest,0,0,0,0,0,,,,0,44514,0,22256,0,0.9772196261682243,0.9771972415730461,0.9772196261682243,0.9771638332809929,0.9771633908525452,14.2,,239.5,True
C1,1,0,2,1200,Decision Tree,0,0,0,0,0,,,,0,44514,0,22256,0,0.9725467289719626,0.9724952671633534,0.9725467289719626,0.9725113558481137,0.9725107402133263,3.4,,239.5,True
C1,1,0,2,1200,Neural Network,0,0,0,0,0,,,,0,44514,0,22256,0,0.9720524802300503,0.9720155070908971,0.9720524802300503,0.9720083963828411,0.9720077746133085,218.1,133.0,239.5,True
C2,2,0,2,1200,Logistic Regression,0,0,0,0,0,0.0,,,0,44514,0,22256,0,0.9532260963335729,0.9531570902106247,0.9532260963335729,0.9531033975078459,0.9531031199660583,2.5,165.0,239.5,True
C2,2,0,2,1200,Random Forest,0,0,0,0,0,0.0,,,0,44514,0,22256,0,0.9772196261682243,0.9771972415730461,0.9772196261682243,0.9771638332809929,0.9771633908525452,14.2,,239.5,True
C2,2,0,2,1200,Decision Tree,0,0,0,0,0,0.0,,,0,44514,0,22256,0,0.9725467289719626,0.9724952671633534,0.9725467289719626,0.9725113558481137,0.9725107402133263,3.4,,239.5,True
C2,2,0,2,1200,Neural Network,0,0,0,0,0,0.0,,,0,44514,0,22256,0,0.9720524802300503,0.9720155070908971,0.9720524802300503,0.9720083963828411,0.9720077746133085,218.1,133.0,239.5,True
C3,3,0,2,1200,Logistic Regression,0,0,0,0,0,0.0,0.0,,0,44514,0,22256,0,0.9532260963335729,0.9531570902106247,0.9532260963335729,0.9531033975078459,0.9531031199660583,2.5,165.0,239.5,True
C3,3,0,2,1200,Random Forest,0,0,0,0,0,0.0,0.0,,0,44514,0,22256,0,0.9772196261682243,0.9771972415730461,0.9772196261682243,0.9771638332809929,0.9771633908525452,14.2,,239.5,True
C3,3,0,2,1200,Decision Tree,0,0,0,0,0,0.0,0.0,,0,44514,0,22256,0,0.9725467289719626,0.9724952671633534,0.9725467289719626,0.9725113558481137,0.9725107402133263,3.4,,239.5,True
C3,3,0,2,1200,Neural Network,0,0,0,0,0,0.0,0.0,,0,44514,0,22256,0,0.9720524802300503,0.9720155070908971,0.9720524802300503,0.9720083963828411,0.9720077746133085,218.1,133.0,239.5,True
C4,4,0,2,1200,Logistic Regression,0,0,0,0,0,0.0,0.0,0.0,0,44514,0,22256,0,0.9532260963335729,0.9531570902106247,0.9532260963335729,0.9531033975078459,0.9531031199660583,2.5,165.0,239.5,True
C4,4,0,2,1200,Random Forest,0,0,0,0,0,0.0,0.0,0.0,0,44514,0,22256,0,0.9772196261682243,0.9771972415730461,0.9772196261682243,0.9771638332809929,0.9771633908525452,14.2,,239.5,True
C4,4,0,2,1200,Decision Tree,0,0,0,0,0,0.0,0.0,0.0,0,44514,0,22256,0,0.9725467289719626,0.9724952671633534,0.9725467289719626,0.9725113558481137,0.9725107402133263,3.4,,239.5,True
C4,4,0,2,1200,Neural Network,0,0,0,0,0,0.0,0.0,0.0,0,44514,0,22256,0,0.9720524802300503,0.9720155070908971,0.9720524802300503,0.9720083963828411,0.9720077746133085,218.1,133.0,239.5,True
C1,1,0,1,1100,Logistic Regression,0,0,0,0,0,,,,0,44513,0,22257,0,0.95318326818529,0.9531419640860667,0.95318326818529,0.9530986545940788,0.9530982974425249,2.1,142.0,244.5,True
C1,1,0,1,1100,Random Forest,0,0,0,0,0,,,,0,44513,0,22257,0,0.9768162825178596,0.9767794885438208,0.9768162825178596,0.9767614224454703,0.9767614179508677,13.8,,244.5,True
C1,1,0,1,1100,Decision Tree,0,0,0,0,0,,,,0,44513,0,22257,0,0.9697173922810801,0.9697059997062564,0.9697173922810801,0.9697107152645176,0.9697106171790763,3.4,,244.5,True
C1,1,0,1,1100,Neural Network,0,0,0,0,0,,,,0,44513,0,22257,0,0.9723682436986116,0.9723263639496897,0.9723682436986116,0.9723175193301247,0.9723175488229568,223.8,140.0,244.5,True
C2,2,0,1,1100,Logistic Regression,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.95318326818529,0.9531419640860667,0.95318326818529,0.9530986545940788,0.9530982974425249,2.1,142.0,244.5,True
C2,2,0,1,1100,Random Forest,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9768162825178596,0.9767794885438208,0.9768162825178596,0.9767614224454703,0.9767614179508677,13.8,,244.5,True
C2,2,0,1,1100,Decision Tree,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9697173922810801,0.9697059997062564,0.9697173922810801,0.9697107152645176,0.9697106171790763,3.4,,244.5,True
C2,2,0,1,1100,Neural Network,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9723682436986116,0.9723263639496897,0.9723682436986116,0.9723175193301247,0.9723175488229568,223.8,140.0,244.5,True
C3,3,0,1,1100,Logistic Regression,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.95318326818529,0.9531419640860667,0.95318326818529,0.9530986545940788,0.9530982974425249,2.1,142.0,244.5,True
C3,3,0,1,1100,Random Forest,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9768162825178596,0.9767794885438208,0.9768162825178596,0.9767614224454703,0.9767614179508677,13.8,,244.5,True
C3,3,0,1,1100,Decision Tree,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9697173922810801,0.9697059997062564,0.9697173922810801,0.9697107152645176,0.9697106171790763,3.4,,244.5,True
C3,3,0,1,1100,Neural Network,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9723682436986116,0.9723263639496897,0.9723682436986116,0.9723175193301247,0.9723175488229568,223.8,140.0,244.5,True
C4,4,0,1,1100,Logistic Regression,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.95318326818529,0.9531419640860667,0.95318326818529,0.9530986545940788,0.9530982974425249,2.1,142.0,244.5,True
C4,4,0,1,1100,Random Forest,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9768162825178596,0.9767794885438208,0.9768162825178596,0.9767614224454703,0.9767614179508677,13.8,,244.5,True
C4,4,0,1,1100,Decision Tree,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9697173922810801,0.9697059997062564,0.9697173922810801,0.9697107152645176,0.9697106171790763,3.4,,244.5,True
C4,4,0,1,1100,Neural Network,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9723682436986116,0.9723263639496897,0.9723682436986116,0.9723175193301247,0.9723175488229568,223.8,140.0,244.5,True
C1,1,0,0,1000,Logistic Regression,0,0,0,0,0,,,,0,44513,0,22257,0,0.9538122837758908,0.9538498467695488,0.9538122837758908,0.95367195638649,0.9536723412193371,2.4,160.0,291.9,True
C1,1,0,0,1000,Random Forest,0,0,0,0,0,,,,0,44513,0,22257,0,0.9757828997618727,0.9757988514113484,0.9757828997618727,0.9757068473473525,0.9757071841551042,14.1,,291.9,True
C1,1,0,0,1000,Decision Tree,0,0,0,0,0,,,,0,44513,0,22257,0,0.9727726108639978,0.972704085264415,0.9727726108639978,0.9727128712880004,0.9727132835724763,3.6,,291.9,True
C1,1,0,0,1000,Neural Network,0,0,0,0,0,,,,0,44513,0,22257,0,0.9691333063755223,0.9691061218740336,0.9691333063755223,0.9690870768447157,0.9690875149564089,270.6,181.0,291.9,True
C2,2,0,0,1000,Logistic Regression,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9538122837758908,0.9538498467695488,0.9538122837758908,0.95367195638649,0.9536723412193371,2.4,160.0,291.9,True
C2,2,0,0,1000,Random Forest,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9757828997618727,0.9757988514113484,0.9757828997618727,0.9757068473473525,0.9757071841551042,14.1,,291.9,True
C2,2,0,0,1000,Decision Tree,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9727726108639978,0.972704085264415,0.9727726108639978,0.9727128712880004,0.9727132835724763,3.6,,291.9,True
C2,2,0,0,1000,Neural Network,0,0,0,0,0,0.0,,,0,44513,0,22257,0,0.9691333063755223,0.9691061218740336,0.9691333063755223,0.9690870768447157,0.9690875149564089,270.6,181.0,291.9,True
C3,3,0,0,1000,Logistic Regression,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9538122837758908,0.9538498467695488,0.9538122837758908,0.95367195638649,0.9536723412193371,2.4,160.0,291.9,True
C3,3,0,0,1000,Random Forest,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9757828997618727,0.9757988514113484,0.9757828997618727,0.9757068473473525,0.9757071841551042,14.1,,291.9,True
C3,3,0,0,1000,Decision Tree,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9727726108639978,0.972704085264415,0.9727726108639978,0.9727128712880004,0.9727132835724763,3.6,,291.9,True
C3,3,0,0,1000,Neural Network,0,0,0,0,0,0.0,0.0,,0,44513,0,22257,0,0.9691333063755223,0.9691061218740336,0.9691333063755223,0.9690870768447157,0.9690875149564089,270.6,181.0,291.9,True
C4,4,0,0,1000,Logistic Regression,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9538122837758908,0.9538498467695488,0.9538122837758908,0.95367195638649,0.9536723412193371,2.4,160.0,291.9,True
C4,4,0,0,1000,Random Forest,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9757828997618727,0.9757988514113484,0.9757828997618727,0.9757068473473525,0.9757071841551042,14.1,,291.9,True
C4,4,0,0,1000,Decision Tree,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9727726108639978,0.972704085264415,0.9727726108639978,0.9727128712880004,0.9727132835724763,3.6,,291.9,True
C4,4,0,0,1000,Neural Network,0,0,0,0,0,0.0,0.0,0.0,0,44513,0,22257,0,0.9691333063755223,0.9691061218740336,0.9691333063755223,0.9690870768447157,0.9690875149564089,270.6,181.0,291.9,True
C1,1,5,0,1005,Logistic Regression,734,833,99,99,734,,,,10,44513,2225,22257,0,0.933683784876668,0.9335225560150724,0.933683784876668,0.9334397625740802,0.9334405289355605,2.7,170.0,273.2,False
C1,1,5,0,1005,Random Forest,734,833,99,99,734,,,,10,44513,2225,22257,0,0.9749292357460574,0.974940064161528,0.9749292357460574,0.9748557761799838,0.9748560779041812,19.1,,273.2,False
C1,1,5,0,1005,Decision Tree,734,833,99,99,734,,,,10,44513,2225,22257,0,0.9698971110212518,0.9698442277009129,0.9698971110212518,0.9698226319677482,0.9698230223165876,4.5,,273.2,False
C1,1,5,0,1005,Neural Network,734,833,99,99,734,,,,10,44513,2225,22257,0,0.9695826032259514,0.9695665803014721,0.9695826032259514,0.9695103905965257,0.9695107599908195,246.2,120.0,273.2,False
C1,1,5,2,1205,Logistic Regression,758,874,116,116,758,,,,10,44514,2225,22256,0,0.9336808051761323,0.9334693642309192,0.9336808051761323,0.9334298812288786,0.9334290995092867,2.6,171.0,296.3,False
C1,1,5,2,1205,Random Forest,758,874,116,116,758,,,,10,44514,2225,22256,0,0.975647016534867,0.9756132303452913,0.975647016534867,0.975582931052535,0.9755824778253114,18.6,,296.3,False
C1,1,5,2,1205,Decision Tree,758,874,116,116,758,,,,10,44514,2225,22256,0,0.9695812365204889,0.9695173960885741,0.9695812365204889,0.9695412885124249,0.9695407808041516,4.2,,296.3,False
C1,1,5,2,1205,Neural Network,758,874,116,116,758,,,,10,44514,2225,22256,0,0.9711538461538461,0.9710733697919354,0.9711538461538461,0.9710929719723559,0.9710922916335731,270.1,133.0,296.3,False
C2,2,5,0,1005,Logistic Regression,61727,34214,2019,2009,734,60993,,,11,44513,2225,22257,0,0.9011097632205598,0.900753556037467,0.9011097632205598,0.9008073265906528,0.9008082055553792,5.2,260.0,294.5,False
C2,2,5,0,1005,Random Forest,61727,34214,2019,2009,734,60993,,,11,44513,2225,22257,0,0.9751538841712719,0.9751652988336167,0.9751538841712719,0.9750740170916616,0.975074333126581,17.2,,294.5,False
C2,2,5,0,1005,Decision Tree,61727,34214,2019,2009,734,60993,,,11,44513,2225,22257,0,0.9698072516511659,0.9697647074436082,0.9698072516511659,0.9697415766623978,0.9697420045290253,7.6,,294.5,False
C2,2,5,0,1005,Neural Network,61727,34214,2019,2009,734,60993,,,11,44513,2225,22257,0,0.969313025115694,0.9692986610493523,0.969313025115694,0.9692356605740043,0.9692360318104862,263.6,130.0,294.5,False
C1,1,5,1,1105,Logistic Regression,804,928,124,124,804,,,,10,44513,2225,22257,0,0.9357505503886417,0.9355861925967919,0.9357505503886417,0.9355645885121396,0.9355644444547716,2.6,167.0,303.3,False
C1,1,5,1,1105,Random Forest,804,928,124,124,804,,,,10,44513,2225,22257,0,0.9749741654311004,0.9749469474513218,0.9749741654311004,0.9749148681811104,0.9749148752130108,18.5,,303.3,False
C1,1,5,1,1105,Decision Tree,804,928,124,124,804,,,,10,44513,2225,22257,0,0.9703913375567237,0.9703855275227037,0.9703913375567237,0.9703876032052905,0.9703875564443072,4.3,,303.3,False
C1,1,5,1,1105,Neural Network,804,928,124,124,804,,,,10,44513,2225,22257,0,0.9680549939344926,0.9680433703379332,0.9680549939344926,0.9680355141496046,0.9680355378209085,277.0,141.0,303.3,False
C2,2,5,1,1105,Logistic Regression,63281,35430,2052,2027,804,62477,,,11,44513,2225,22257,0,0.9089275284180258,0.9086777864070987,0.9089275284180258,0.908633722619674,0.908633487088173,4.6,277.0,233.5,False
