N_FD,Rumore_%,Rep,Fold,IM,IP,IH_approx,IH_esatto,Secondi_ilp,Risolto
2,5,0,0,3795.0,3140.0,913.0,555.0,0.1,True
2,5,0,1,3791.0,3221.0,941.0,575.0,0.0,True
2,5,0,2,3708.0,3138.0,924.0,562.0,0.1,True
2,5,0,3,3783.0,3057.0,928.0,564.0,0.1,True
2,5,0,4,3627.0,3054.0,914.0,552.0,0.0,True
2,5,1,0,3611.0,3052.0,919.0,538.0,0.1,True
2,5,1,1,3715.0,3189.0,944.0,549.0,0.1,True
2,5,1,2,3736.0,3130.0,927.0,545.0,0.1,True
2,5,1,3,3681.0,3145.0,932.0,545.0,0.0,True
2,5,1,4,3672.0,3134.0,927.0,540.0,0.0,True
2,5,2,0,3621.0,3040.0,892.0,529.0,0.1,True
2,5,2,1,3594.0,3073.0,891.0,525.0,0.0,True
2,5,2,2,3524.0,3134.0,920.0,538.0,0.0,True
2,5,2,3,3879.0,3179.0,918.0,541.0,0.0,True
2,5,2,4,3588.0,3093.0,918.0,543.0,0.0,True
2,5,3,0,3385.0,2985.0,900.0,536.0,0.0,True
2,5,3,1,3447.0,3053.0,913.0,538.0,0.0,True
2,5,3,2,3528.0,3088.0,944.0,555.0,0.0,True
2,5,3,3,3324.0,2956.0,891.0,526.0,0.0,True
2,5,3,4,3516.0,3010.0,909.0,535.0,0.0,True
2,5,4,0,3574.0,3171.0,924.0,546.0,0.0,True
2,5,4,1,3510.0,3185.0,914.0,545.0,0.0,True
2,5,4,2,3524.0,3064.0,888.0,520.0,0.0,True
2,5,4,3,3419.0,2926.0,886.0,525.0,0.0,True
2,5,4,4,3544.0,3111.0,925.0,552.0,0.0,True
2,10,0,0,7007.0,4763.0,1747.0,1053.0,0.2,True
2,10,0,1,7201.0,4791.0,1749.0,1069.0,0.2,True
2,10,0,2,6969.0,4623.0,1716.0,1045.0,0.2,True
2,10,0,3,6877.0,4607.0,1723.0,1041.0,0.2,True
