N_FD,Rumore_%,FD_n,FD,Gruppi_LHS,Dimensione_media,Dimensione_massima,Coppie_stesso_LHS,Conflitti_FD,Quota_coppie_in_conflitto
1,0,1,Distance -> DistanceGroup,1403,21.4,154,664642,0,0.0
1,5,1,Distance -> DistanceGroup,1402,21.4,151,630754,29735,0.0471
1,10,1,Distance -> DistanceGroup,1402,21.4,144,599197,57750,0.0964
1,20,1,Distance -> DistanceGroup,1402,21.4,129,541573,106860,0.1973
1,30,1,Distance -> DistanceGroup,1403,21.4,118,491506,151492,0.3082
1,40,1,Distance -> DistanceGroup,1403,21.4,103,446724,187658,0.4201
4,0,1,Distance -> DistanceGroup,1403,21.4,154,664642,0,0.0
4,0,2,Origin+Dest -> Distance,4624,6.5,66,190594,0,0.0
4,0,3,OriginAirportID -> Origin,322,93.2,1419,8425296,0,0.0
4,0,4,DestAirportID -> Dest,315,95.2,1398,8518554,0,0.0
4,5,1,Distance -> DistanceGroup,1403,21.4,145,598822,52547,0.0878
4,5,2,Origin+Dest -> Distance,8048,3.7,52,144246,18543,0.1286
4,5,3,OriginAirportID -> Origin,322,93.2,1346,7753040,885729,0.1142
4,5,4,DestAirportID -> Dest,315,95.2,1346,7841716,897752,0.1145
4,10,1,Distance -> DistanceGroup,1403,21.4,128,548182,101023,0.1843
4,10,2,Origin+Dest -> Distance,10935,2.7,45,108745,26851,0.2469
4,10,3,OriginAirportID -> Origin,322,93.2,1283,7080341,1563847,0.2209
4,10,4,DestAirportID -> Dest,315,95.2,1267,7161947,1550172,0.2164
4,20,1,Distance -> DistanceGroup,1403,21.4,117,462559,168119,0.3635
4,20,2,Origin+Dest -> Distance,15680,1.9,38,59723,27541,0.4611
4,20,3,OriginAirportID -> Origin,322,93.2,1171,5898966,2437564,0.4132
4,20,4,DestAirportID -> Dest,315,95.2,1149,5978340,2456554,0.4109
4,30,1,Distance -> DistanceGroup,1403,21.4,87,401193,217137,0.5412
4,30,2,Origin+Dest -> Distance,19397,1.5,23,30815,20289,0.6584
4,30,3,OriginAirportID -> Origin,322,93.2,1001,4802173,2798752,0.5828
4,30,4,DestAirportID -> Dest,315,95.2,999,4893605,2845958,0.5816
4,40,1,Distance -> DistanceGroup,1403,21.4,68,367168,251761,0.6857
4,40,2,Origin+Dest -> Distance,21847,1.4,19,16806,13588,0.8085
4,40,3,OriginAirportID -> Origin,322,93.2,901,3911713,2806140,0.7174
4,40,4,DestAirportID -> Dest,315,95.2,886,3942830,2846277,0.7219
