N_FD,Rumore_%,FD_n,FD,Gruppi_LHS,Dimensione_media,Dimensione_massima,Coppie_stesso_LHS,Conflitti_FD,Quota_coppie_in_conflitto,Tuple_coinvolte_FD,IM_totale,IP_totale,IH_approx_totale,IH_esatto_totale
1,0,1,Distance -> DistanceGroup,1206,5.4,70,32636,0,0.0,0,0,0,0,0.0
1,5,1,Distance -> DistanceGroup,1236,5.2,69,31044,1555,0.0501,1608,1555,1608,431,263.0
1,10,1,Distance -> DistanceGroup,1258,5.1,65,29359,2783,0.0948,2658,2783,2658,829,515.0
1,20,1,Distance -> DistanceGroup,1310,4.9,62,26268,4725,0.1799,4061,4725,4061,1553,1021.0
1,30,1,Distance -> DistanceGroup,1342,4.8,53,23471,6917,0.2947,5000,6917,5000,2308,1546.0
1,40,1,Distance -> DistanceGroup,1358,4.8,45,21221,8597,0.4051,5534,8597,5534,2918,2040.0
4,0,1,Distance -> DistanceGroup,1206,5.4,70,32636,0,0.0,0,0,0,0,
4,0,2,Origin+Dest -> Distance,2699,2.4,38,12040,0,0.0,0,0,0,0,
4,0,3,OriginAirportID -> Origin,251,25.8,276,425490,0,0.0,0,0,0,0,
4,0,4,DestAirportID -> Dest,240,27.0,330,438759,0,0.0,0,0,0,0,
4,5,1,Distance -> DistanceGroup,1270,5.1,64,29234,2650,0.0906,2530,94760,6472,1921,
4,5,2,Origin+Dest -> Distance,3364,1.9,31,9092,1162,0.1278,1252,94760,6472,1921,
4,5,3,OriginAirportID -> Origin,300,21.6,265,391401,46334,0.1184,6223,94760,6472,1921,
4,5,4,DestAirportID -> Dest,286,22.6,313,402799,45652,0.1133,6213,94760,6472,1921,
4,10,1,Distance -> DistanceGroup,1303,5.0,62,26918,4978,0.1849,4180,161648,6472,3299,
4,10,2,Origin+Dest -> Distance,3881,1.7,29,6959,1674,0.2406,1727,161648,6472,3299,
4,10,3,OriginAirportID -> Origin,313,20.7,259,360208,78701,0.2185,6385,161648,6472,3299,
4,10,4,DestAirportID -> Dest,306,21.2,304,364306,77807,0.2136,6429,161648,6472,3299,
4,20,1,Distance -> DistanceGroup,1345,4.8,55,22709,8100,0.3567,5504,246745,6472,4932,
4,20,2,Origin+Dest -> Distance,4732,1.4,20,3803,1683,0.4425,1693,246745,6472,4932,
4,20,3,OriginAirportID -> Origin,321,20.2,229,294966,121262,0.4111,6457,246745,6472,4932,
4,20,4,DestAirportID -> Dest,313,20.7,261,305037,117741,0.386,6465,246745,6472,4932,
4,30,1,Distance -> DistanceGroup,1371,4.7,35,18808,10106,0.5373,5983,289588,6472,5785,
4,30,2,Origin+Dest -> Distance,5402,1.2,12,1767,1180,0.6678,1419,289588,6472,5785,
4,30,3,OriginAirportID -> Origin,322,20.1,206,239680,136769,0.5706,6469,289588,6472,5785,
4,30,4,DestAirportID -> Dest,315,20.5,227,244263,143526,0.5876,6471,289588,6472,5785,
4,40,1,Distance -> DistanceGroup,1381,4.7,33,17013,11709,0.6882,6154,299391,6472,6119,
4,40,2,Origin+Dest -> Distance,5797,1.1,8,924,745,0.8063,1057,299391,6472,6119,
4,40,3,OriginAirportID -> Origin,322,20.1,177,196075,141922,0.7238,6472,299391,6472,6119,
4,40,4,DestAirportID -> Dest,315,20.5,215,201976,146652,0.7261,6471,299391,6472,6119,
