  2 FD, 5%, replica 0, fold 0: approx 913, esatto 555, 0.1 s, risolto True
  2 FD, 5%, replica 0, fold 1: approx 941, esatto 575, 0.0 s, risolto True
  2 FD, 5%, replica 0, fold 2: approx 924, esatto 562, 0.1 s, risolto True
  2 FD, 5%, replica 0, fold 3: approx 928, esatto 564, 0.1 s, risolto True
  2 FD, 5%, replica 0, fold 4: approx 914, esatto 552, 0.0 s, risolto True
  2 FD, 5%, replica 1, fold 0: approx 919, esatto 538, 0.1 s, risolto True
  2 FD, 5%, replica 1, fold 1: approx 944, esatto 549, 0.1 s, risolto True
  2 FD, 5%, replica 1, fold 2: approx 927, esatto 545, 0.1 s, risolto True
  2 FD, 5%, replica 1, fold 3: approx 932, esatto 545, 0.0 s, risolto True
  2 FD, 5%, replica 1, fold 4: approx 927, esatto 540, 0.0 s, risolto True
  2 FD, 5%, replica 2, fold 0: approx 892, esatto 529, 0.1 s, risolto True
  2 FD, 5%, replica 2, fold 1: approx 891, esatto 525, 0.0 s, risolto True
  2 FD, 5%, replica 2, fold 2: approx 920, esatto 538, 0.0 s, risolto True
  2 FD, 5%, replica 2, fold 3: approx 918, esatto 541, 0.0 s, risolto True
  2 FD, 5%, replica 2, fold 4: approx 918, esatto 543, 0.0 s, risolto True
  2 FD, 5%, replica 3, fold 0: approx 900, esatto 536, 0.0 s, risolto True
  2 FD, 5%, replica 3, fold 1: approx 913, esatto 538, 0.0 s, risolto True
  2 FD, 5%, replica 3, fold 2: approx 944, esatto 555, 0.0 s, risolto True
  2 FD, 5%, replica 3, fold 3: approx 891, esatto 526, 0.0 s, risolto True
  2 FD, 5%, replica 3, fold 4: approx 909, esatto 535, 0.0 s, risolto True
  2 FD, 5%, replica 4, fold 0: approx 924, esatto 546, 0.0 s, risolto True
  2 FD, 5%, replica 4, fold 1: approx 914, esatto 545, 0.0 s, risolto True
  2 FD, 5%, replica 4, fold 2: approx 888, esatto 520, 0.0 s, risolto True
  2 FD, 5%, replica 4, fold 3: approx 886, esatto 525, 0.0 s, risolto True
  2 FD, 5%, replica 4, fold 4: approx 925, esatto 552, 0.0 s, risolto True
  2 FD, 10%, replica 0, fold 0: approx 1747, esatto 1053, 0.2 s, risolto True
  2 FD, 10%, replica 0, fold 1: approx 1749, esatto 1069, 0.2 s, risolto True
  2 FD, 10%, replica 0, fold 2: approx 1716, esatto 1045, 0.2 s, risolto True
  2 FD, 10%, replica 0, fold 3: approx 1723, esatto 1041, 0.2 s, risolto True
  2 FD, 10%, replica 0, fold 4: approx 1668, esatto 1021, 0.1 s, risolto True
  2 FD, 10%, replica 1, fold 0: approx 1701, esatto 1029, 0.1 s, risolto True
  2 FD, 10%, replica 1, fold 1: approx 1700, esatto 1041, 0.1 s, risolto True
  2 FD, 10%, replica 1, fold 2: approx 1741, esatto 1067, 0.1 s, risolto True
  2 FD, 10%, replica 1, fold 3: approx 1711, esatto 1044, 0.1 s, risolto True
  2 FD, 10%, replica 1, fold 4: approx 1689, esatto 1033, 0.2 s, risolto True
  2 FD, 10%, replica 2, fold 0: approx 1676, esatto 1013, 0.1 s, risolto True
  2 FD, 10%, replica 2, fold 1: approx 1678, esatto 1020, 0.1 s, risolto True
  2 FD, 10%, replica 2, fold 2: approx 1702, esatto 1028, 0.1 s, risolto True
  2 FD, 10%, replica 2, fold 3: approx 1707, esatto 1031, 0.1 s, risolto True
  2 FD, 10%, replica 2, fold 4: approx 1705, esatto 1029, 0.1 s, risolto True
  2 FD, 10%, replica 3, fold 0: approx 1751, esatto 1078, 0.2 s, risolto True
  2 FD, 10%, replica 3, fold 1: approx 1762, esatto 1076, 0.2 s, risolto True
  2 FD, 10%, replica 3, fold 2: approx 1769, esatto 1098, 0.2 s, risolto True
  2 FD, 10%, replica 3, fold 3: approx 1777, esatto 1083, 0.1 s, risolto True
  2 FD, 10%, replica 3, fold 4: approx 1745, esatto 1074, 0.1 s, risolto True
  2 FD, 10%, replica 4, fold 0: approx 1744, esatto 1053, 0.1 s, risolto True
  2 FD, 10%, replica 4, fold 1: approx 1776, esatto 1081, 0.2 s, risolto True
  2 FD, 10%, replica 4, fold 2: approx 1725, esatto 1039, 0.2 s, risolto True
  2 FD, 10%, replica 4, fold 3: approx 1801, esatto 1087, 0.1 s, risolto True
  2 FD, 10%, replica 4, fold 4: approx 1754, esatto 1059, 0.1 s, risolto True
  2 FD, 20%, replica 0, fold 0: approx 3001, esatto 1973, 0.5 s, risolto True
  2 FD, 20%, replica 0, fold 1: approx 2993, esatto 1925, 0.6 s, risolto True
  2 FD, 20%, replica 0, fold 2: approx 2978, esatto 1911, 0.5 s, risolto True
  2 FD, 20%, replica 0, fold 3: approx 2984, esatto 1931, 0.7 s, risolto True
  2 FD, 20%, replica 0, fold 4: approx 2957, esatto 1927, 0.6 s, risolto True
  2 FD, 20%, replica 1, fold 0: approx 3066, esatto 1990, 0.5 s, risolto True
  2 FD, 20%, replica 1, fold 1: approx 2984, esatto 1949, 0.7 s, risolto True
  2 FD, 20%, replica 1, fold 2: approx 3005, esatto 1939, 0.6 s, risolto True
  2 FD, 20%, replica 1, fold 3: approx 2971, esatto 1945, 0.5 s, risolto True
  2 FD, 20%, replica 1, fold 4: approx 2977, esatto 1930, 0.6 s, risolto True
  2 FD, 20%, replica 2, fold 0: approx 2966, esatto 1933, 0.6 s, risolto True
  2 FD, 20%, replica 2, fold 1: approx 2948, esatto 1939, 1.2 s, risolto True
  2 FD, 20%, replica 2, fold 2: approx 2988, esatto 1936, 1.0 s, risolto True
  2 FD, 20%, replica 2, fold 3: approx 3008, esatto 1955, 0.6 s, risolto True
  2 FD, 20%, replica 2, fold 4: approx 2959, esatto 1924, 0.7 s, risolto True
  2 FD, 20%, replica 3, fold 0: approx 3081, esatto 1984, 0.8 s, risolto True
  2 FD, 20%, replica 3, fold 1: approx 3038, esatto 1977, 0.7 s, risolto True
  2 FD, 20%, replica 3, fold 2: approx 3059, esatto 1997, 0.6 s, risolto True
  2 FD, 20%, replica 3, fold 3: approx 3043, esatto 1973, 0.6 s, risolto True
  2 FD, 20%, replica 3, fold 4: approx 3064, esatto 1971, 0.7 s, risolto True
  2 FD, 20%, replica 4, fold 0: approx 2999, esatto 1946, 0.7 s, risolto True
  2 FD, 20%, replica 4, fold 1: approx 2960, esatto 1945, 0.6 s, risolto True
  2 FD, 20%, replica 4, fold 2: approx 2951, esatto 1924, 0.6 s, risolto True
  2 FD, 20%, replica 4, fold 3: approx 2974, esatto 1916, 0.6 s, risolto True
  2 FD, 20%, replica 4, fold 4: approx 2961, esatto 1917, 0.7 s, risolto True
  2 FD, 40%, replica 0, fold 0: approx 4486, esatto 3325, 15.5 s, risolto True
  2 FD, 40%, replica 0, fold 1: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 0, fold 2: approx 4474, esatto 3322, 16.5 s, risolto True
  2 FD, 40%, replica 0, fold 3: approx 4469, esatto 3297, 6.4 s, risolto True
  2 FD, 40%, replica 0, fold 4: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 1, fold 0: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 1, fold 1: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 1, fold 2: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 1, fold 3: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 1, fold 4: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 2, fold 0: approx 4500, esatto 3324, 5.7 s, risolto True
  2 FD, 40%, replica 2, fold 1: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 2, fold 2: approx 4523, esatto 3323, 13.4 s, risolto True
  2 FD, 40%, replica 2, fold 3: approx 4462, esatto 3307, 4.5 s, risolto True
  2 FD, 40%, replica 2, fold 4: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 3, fold 0: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 3, fold 1: approx 4466, esatto 3272, 93.3 s, risolto True
  2 FD, 40%, replica 3, fold 2: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 3, fold 3: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 3, fold 4: approx 4520, esatto 3303, 5.3 s, risolto True
  2 FD, 40%, replica 4, fold 0: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 4, fold 1: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 4, fold 2: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 4, fold 3: approx nan, esatto nan, 150 s, risolto False
  2 FD, 40%, replica 4, fold 4: approx nan, esatto nan, 150 s, risolto False
  4 FD, 5%, replica 0, fold 0: approx 1921, esatto 1119, 4.9 s, risolto True
  4 FD, 5%, replica 0, fold 1: approx 1919, esatto 1110, 3.8 s, risolto True
  4 FD, 5%, replica 0, fold 2: approx 1856, esatto 1100, 5.2 s, risolto True
  4 FD, 5%, replica 0, fold 3: approx 1857, esatto 1089, 4.7 s, risolto True
  4 FD, 5%, replica 0, fold 4: approx 1845, esatto 1082, 3.7 s, risolto True
  4 FD, 5%, replica 1, fold 0: approx 1819, esatto 1062, 3.9 s, risolto True
  4 FD, 5%, replica 1, fold 1: approx 1820, esatto 1066, 3.0 s, risolto True
  4 FD, 5%, replica 1, fold 2: approx 1864, esatto 1074, 3.2 s, risolto True
  4 FD, 5%, replica 1, fold 3: approx 1833, esatto 1071, 3.6 s, risolto True
  4 FD, 5%, replica 1, fold 4: approx 1835, esatto 1072, 3.3 s, risolto True
  4 FD, 5%, replica 2, fold 0: approx 1880, esatto 1088, 3.6 s, risolto True
  4 FD, 5%, replica 2, fold 1: approx 1902, esatto 1106, 3.7 s, risolto True
  4 FD, 5%, replica 2, fold 2: approx 1899, esatto 1102, 3.3 s, risolto True
  4 FD, 5%, replica 2, fold 3: approx 1894, esatto 1097, 3.0 s, risolto True
  4 FD, 5%, replica 2, fold 4: approx 1914, esatto 1113, 3.6 s, risolto True
  4 FD, 5%, replica 3, fold 0: approx 1842, esatto 1093, 2.7 s, risolto True
  4 FD, 5%, replica 3, fold 1: approx 1888, esatto 1122, 4.3 s, risolto True
  4 FD, 5%, replica 3, fold 2: approx 1948, esatto 1164, 4.3 s, risolto True
  4 FD, 5%, replica 3, fold 3: approx 1881, esatto 1122, 4.2 s, risolto True
  4 FD, 5%, replica 3, fold 4: approx 1888, esatto 1125, 4.0 s, risolto True
  4 FD, 5%, replica 4, fold 0: approx 1812, esatto 1064, 2.8 s, risolto True
  4 FD, 5%, replica 4, fold 1: approx 1841, esatto 1091, 3.1 s, risolto True
  4 FD, 5%, replica 4, fold 2: approx 1870, esatto 1106, 2.8 s, risolto True
  4 FD, 5%, replica 4, fold 3: approx 1811, esatto 1067, 3.6 s, risolto True
  4 FD, 5%, replica 4, fold 4: approx 1872, esatto 1106, 2.5 s, risolto True
  4 FD, 10%, replica 0, fold 0: approx 3299, esatto 2066, 8.8 s, risolto True
  4 FD, 10%, replica 0, fold 1: approx 3281, esatto 2074, 8.0 s, risolto True
  4 FD, 10%, replica 0, fold 2: approx 3247, esatto 2035, 9.1 s, risolto True
  4 FD, 10%, replica 0, fold 3: approx 3256, esatto 2039, 9.8 s, risolto True
  4 FD, 10%, replica 0, fold 4: approx 3207, esatto 2018, 10.4 s, risolto True
  4 FD, 10%, replica 1, fold 0: approx 3205, esatto 2008, 10.0 s, risolto True
  4 FD, 10%, replica 1, fold 1: approx 3248, esatto 2045, 11.6 s, risolto True
  4 FD, 10%, replica 1, fold 2: approx 3206, esatto 2020, 13.1 s, risolto True
  4 FD, 10%, replica 1, fold 3: approx 3215, esatto 2025, 44.4 s, risolto True
  4 FD, 10%, replica 1, fold 4: approx 3219, esatto 2020, 11.2 s, risolto True
  4 FD, 10%, replica 2, fold 0: approx 3182, esatto 2001, 23.3 s, risolto True
  4 FD, 10%, replica 2, fold 1: approx 3169, esatto 1988, 12.1 s, risolto True
  4 FD, 10%, replica 2, fold 2: approx 3174, esatto 1998, 11.6 s, risolto True
  4 FD, 10%, replica 2, fold 3: approx 3150, esatto 1988, 9.1 s, risolto True
  4 FD, 10%, replica 2, fold 4: approx 3181, esatto 2001, 10.4 s, risolto True
  4 FD, 10%, replica 3, fold 0: approx 3251, esatto 2037, 10.6 s, risolto True
  4 FD, 10%, replica 3, fold 1: approx 3268, esatto 2043, 12.6 s, risolto True
  4 FD, 10%, replica 3, fold 2: approx 3319, esatto 2075, 11.9 s, risolto True
  4 FD, 10%, replica 3, fold 3: approx 3321, esatto 2067, 9.4 s, risolto True
  4 FD, 10%, replica 3, fold 4: approx 3289, esatto 2057, 10.4 s, risolto True
  4 FD, 10%, replica 4, fold 0: approx 3267, esatto 2036, 8.4 s, risolto True
  4 FD, 10%, replica 4, fold 1: approx 3299, esatto 2056, 10.9 s, risolto True
  4 FD, 10%, replica 4, fold 2: approx 3241, esatto 2013, 9.7 s, risolto True
  4 FD, 10%, replica 4, fold 3: approx 3315, esatto 2051, 8.6 s, risolto True
  4 FD, 10%, replica 4, fold 4: approx 3294, esatto 2061, 7.3 s, risolto True

Salvato in 'blocco2_ih_esatto.csv'.
Medie sulle istanze risolte (IH_approx sulle stesse istanze):
               Istanze  Risolte  IH_approx  IH_esatto  Rapporto
N_FD Rumore_%                                                  
2    5              25       25      916.1      543.2       1.7
     10             25       25     1728.7     1051.7       1.6
     20             25       25     2996.6     1946.3       1.5
     40             25        8     4487.5     3309.1       1.4
4    5              25       25     1868.4     1096.4       1.7
     10             25       25     3244.1     2032.9       1.6
== FINE exit=0
