LHS (Determinante),RHS (Dipendente),Tipo
DayofMonth,DayOfWeek,1 -> 1
DayofMonth,FlightDate,1 -> 1
DayofMonth,DivReachedDest,1 -> 1
DayofMonth,DivDistance,1 -> 1
DayofMonth,Div1Airport,1 -> 1
DayofMonth,Div1AirportID,1 -> 1
DayofMonth,Div1AirportSeqID,1 -> 1
DayofMonth,Div1WheelsOn,1 -> 1
DayofMonth,Div1TotalGTime,1 -> 1
DayofMonth,Div1LongestGTime,1 -> 1
DayOfWeek,DivReachedDest,1 -> 1
DayOfWeek,DivDistance,1 -> 1
DayOfWeek,Div1Airport,1 -> 1
DayOfWeek,Div1AirportID,1 -> 1
DayOfWeek,Div1AirportSeqID,1 -> 1
DayOfWeek,Div1WheelsOn,1 -> 1
DayOfWeek,Div1TotalGTime,1 -> 1
DayOfWeek,Div1LongestGTime,1 -> 1
FlightDate,DayofMonth,1 -> 1
FlightDate,DayOfWeek,1 -> 1
FlightDate,DivReachedDest,1 -> 1
FlightDate,DivDistance,1 -> 1
FlightDate,Div1Airport,1 -> 1
FlightDate,Div1AirportID,1 -> 1
FlightDate,Div1AirportSeqID,1 -> 1
FlightDate,Div1WheelsOn,1 -> 1
FlightDate,Div1TotalGTime,1 -> 1
FlightDate,Div1LongestGTime,1 -> 1
Reporting_Airline,DOT_ID_Reporting_Airline,1 -> 1
Reporting_Airline,IATA_CODE_Reporting_Airline,1 -> 1
DOT_ID_Reporting_Airline,Reporting_Airline,1 -> 1
DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,1 -> 1
IATA_CODE_Reporting_Airline,Reporting_Airline,1 -> 1
IATA_CODE_Reporting_Airline,DOT_ID_Reporting_Airline,1 -> 1
Tail_Number,Reporting_Airline,1 -> 1
Tail_Number,DOT_ID_Reporting_Airline,1 -> 1
Tail_Number,IATA_CODE_Reporting_Airline,1 -> 1
Tail_Number,CancellationCode,1 -> 1
Tail_Number,WeatherDelay,1 -> 1
Tail_Number,FirstDepTime,1 -> 1
Tail_Number,TotalAddGTime,1 -> 1
Tail_Number,LongestAddGTime,1 -> 1
Tail_Number,DivReachedDest,1 -> 1
Tail_Number,DivDistance,1 -> 1
Tail_Number,Div1Airport,1 -> 1
Tail_Number,Div1AirportID,1 -> 1
Tail_Number,Div1AirportSeqID,1 -> 1
Tail_Number,Div1WheelsOn,1 -> 1
Tail_Number,Div1TotalGTime,1 -> 1
Tail_Number,Div1LongestGTime,1 -> 1
Flight_Number_Reporting_Airline,CancellationCode,1 -> 1
Flight_Number_Reporting_Airline,CarrierDelay,1 -> 1
