Colonna,Valori_distinti,F1_da_sola,F1_sd_fold
Distance,1237,0.8326,0.0066
DistanceGroup,11,0.7985,0.0085
Origin,255,0.3878,0.011
OriginAirportID,255,0.3878,0.011
Dest,256,0.385,0.0063
DestAirportID,256,0.385,0.0063
DestCityName,251,0.3753,0.0093
OriginCityName,249,0.3678,0.0119
OriginState,52,0.3485,0.0082
OriginStateFips,52,0.3485,0.0082
OriginStateName,52,0.3485,0.0082
OriginWac,52,0.3485,0.0082
DestStateFips,52,0.3351,0.0126
DestState,52,0.3351,0.0126
DestStateName,52,0.3351,0.0126
DestWac,52,0.3351,0.0126
IATA_CODE_Reporting_Airline,14,0.33,0.0185
Reporting_Airline,14,0.33,0.0185
CRSDepTime,997,0.2844,0.0034
DepTimeBlk,19,0.2441,0.0107
DayofMonth,31,0.1918,0.0084
DayOfWeek,7,0.1788,0.0134
