Configurazione,Rep,Seed,Modello,Colonne_sporcate,F1_test_pulito,F1_test_sporco,Quota_train_sporca
FD Origin+Dest -> Distance,0,100,Logistic Regression,3,0.8918,0.879,0.4005
FD Origin+Dest -> Distance,0,100,Random Forest,3,0.9178,0.9064,0.4005
FD Origin+Dest -> Distance,0,100,Decision Tree,3,0.9078,0.8874,0.4005
FD Origin+Dest -> Distance,0,100,Neural Network,3,0.8931,0.8636,0.4005
FD Origin+Dest -> Distance,2,102,Logistic Regression,3,0.8924,0.883,0.3942
FD Origin+Dest -> Distance,2,102,Random Forest,3,0.9179,0.9078,0.3942
FD Origin+Dest -> Distance,2,102,Decision Tree,3,0.9115,0.893,0.3942
FD Origin+Dest -> Distance,2,102,Neural Network,3,0.8965,0.8648,0.3942
FD Distance -> DistanceGroup,0,100,Logistic Regression,2,0.6823,0.6175,0.4005
FD Distance -> DistanceGroup,0,100,Random Forest,2,0.9135,0.8878,0.4005
FD Distance -> DistanceGroup,0,100,Decision Tree,2,0.8884,0.7203,0.4005
FD Distance -> DistanceGroup,0,100,Neural Network,2,0.8944,0.883,0.4005
FD Origin+Dest -> Distance,1,101,Logistic Regression,3,0.8919,0.8818,0.3991
FD Origin+Dest -> Distance,1,101,Random Forest,3,0.9194,0.9121,0.3991
FD Origin+Dest -> Distance,1,101,Decision Tree,3,0.9087,0.8909,0.3991
FD Origin+Dest -> Distance,1,101,Neural Network,3,0.8942,0.8601,0.3991
FD Distance -> DistanceGroup,1,101,Logistic Regression,2,0.6842,0.6205,0.3991
FD Distance -> DistanceGroup,1,101,Random Forest,2,0.9165,0.8856,0.3991
FD Distance -> DistanceGroup,1,101,Decision Tree,2,0.8844,0.7038,0.3991
FD Distance -> DistanceGroup,1,101,Neural Network,2,0.8948,0.8833,0.3991
FD Distance -> DistanceGroup,2,102,Logistic Regression,2,0.6871,0.6179,0.3942
FD Distance -> DistanceGroup,2,102,Random Forest,2,0.916,0.8867,0.3942
FD Distance -> DistanceGroup,2,102,Decision Tree,2,0.8833,0.7108,0.3942
FD Distance -> DistanceGroup,2,102,Neural Network,2,0.8927,0.8819,0.3942
